Title,First Name,E-mail Address,Business Street,Company
"LOZAR ALEKSANDER S.P. - INŽENIRING, KLJUČAVNIČARSTO","LOZAR ALEKSANDER S.P. - INŽENIRING, KLJUČAVNIČARSTO",,"Bilje 124 F, 5292 Renče",", LOZAR ALEKSANDER S.P. - INŽENIRING, KLJUČAVNIČARSTO"
LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE,LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE,,"Roška cesta 22, 1330 Kočevje",", LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE"
VALENTIČ ZVONIMIR - ZOBOZDRAVNIK,VALENTIČ ZVONIMIR - ZOBOZDRAVNIK,,"Roška cesta 18, 1330 Kočevje",", VALENTIČ ZVONIMIR - ZOBOZDRAVNIK"
INTIHAR DRAGA - NOTARKA,INTIHAR DRAGA - NOTARKA,,"Cesta 4. maja 16, 1380 Cerknica",", INTIHAR DRAGA - NOTARKA"
FERLEŽ JANEZ - NOTAR,FERLEŽ JANEZ - NOTAR,,"Ulica Lojzeta Fabjana 7, 8340 Črnomelj",", FERLEŽ JANEZ - NOTAR"
ROŽMAN JOŽE - NOTAR,ROŽMAN JOŽE - NOTAR,,"Kolodvorska cesta 9 A, 1230 Domžale",", ROŽMAN JOŽE - NOTAR"
HOJS DANICA - NOTARKA,HOJS DANICA - NOTARKA,,"Kerenčičeva ulica 6, 9250 Gornja Radgona",", HOJS DANICA - NOTARKA"
ROZMAN ANDREJ - NOTAR,ROZMAN ANDREJ - NOTAR,,"Lapajnetova ulica 39, 5280 Idrija",", ROZMAN ANDREJ - NOTAR"
HORVAT BREDA - NOTARKA,HORVAT BREDA - NOTARKA,,"Vetrinjska ulica 11, 2000 Maribor",", HORVAT BREDA - NOTARKA"
TIRAN ANDREJ - NOTAR,TIRAN ANDREJ - NOTAR,,"Prešernov trg 8, 8000 Novo mesto",", TIRAN ANDREJ - NOTAR"
KEČEK ALOJZ SLAVKO - NOTAR,KEČEK ALOJZ SLAVKO - NOTAR,,"Ilirska ulica 1, 2270 Ormož",", KEČEK ALOJZ SLAVKO - NOTAR"
TAVČAR-PASAR MOJCA - NOTARKA,TAVČAR-PASAR MOJCA - NOTARKA,,"Obala 114, 6320 Portorož - Portorose",", TAVČAR-PASAR MOJCA - NOTARKA"
ŠKOVRLJ MARIJA - NOTARKA,ŠKOVRLJ MARIJA - NOTARKA,,"Ulica heroja Lacka 5, 2250 Ptuj",", ŠKOVRLJ MARIJA - NOTARKA"
NOTARKA SONJA KRALJ,NOTARKA SONJA KRALJ,,"Francetova cesta 1 A, 2380 Slovenj Gradec",", NOTARKA SONJA KRALJ"
SIVEC EDVARD - NOTAR,SIVEC EDVARD - NOTAR,,"Brunov drevored 13, 5220 Tolmin",", SIVEC EDVARD - NOTAR"
KOLENC RUS MARJANA - NOTARKA,KOLENC RUS MARJANA - NOTARKA,,"Obrtniška cesta 14, 1420 Trbovlje",", KOLENC RUS MARJANA - NOTARKA"
GABRILO SREČKO - NOTAR,GABRILO SREČKO - NOTAR,,"Savinjska cesta 20, 3310 Žalec",", GABRILO SREČKO - NOTAR"
LOKOŠEK MAJDA - NOTARKA,LOKOŠEK MAJDA - NOTARKA,,"Kolodvorska cesta 6, 1230 Domžale",", LOKOŠEK MAJDA - NOTARKA"
ŠOEMEN ANDREJ - NOTAR,ŠOEMEN ANDREJ - NOTAR,,"Trstenjakova ulica 5, 2250 Ptuj",", ŠOEMEN ANDREJ - NOTAR"
