Title,First Name,E-mail Address,Business Street,Company
POZAVAROVALNICA TRIGLAV RE d.d.,POZAVAROVALNICA TRIGLAV RE d.d.,,"Miklošičeva cesta 19, 1000 Ljubljana",", POZAVAROVALNICA TRIGLAV RE d.d."
VODOVODI IN KANALIZACIJA NOVA GORICA d.d.,VODOVODI IN KANALIZACIJA NOVA GORICA d.d.,,"Cesta 25. junija 1 B, 5000 Nova Gorica",", VODOVODI IN KANALIZACIJA NOVA GORICA d.d."
"SKUPNA POKOJNINSKA DRUŽBA d.d., Ljubljana","SKUPNA POKOJNINSKA DRUŽBA d.d., Ljubljana",,"Trg republike 3, 1000 Ljubljana",", SKUPNA POKOJNINSKA DRUŽBA d.d., Ljubljana"
Lek farmacevtska družba d.d.,Lek farmacevtska družba d.d.,,"Verovškova ulica 57, 1000 Ljubljana",", Lek farmacevtska družba d.d."
"CASINO KOBARID, igre na srečo in gostinstvo d.d.","CASINO KOBARID, igre na srečo in gostinstvo d.d.",,"Staro selo 60 A, 5222 Kobarid",", CASINO KOBARID, igre na srečo in gostinstvo d.d."
"SID - PRVA KREDITNA ZAVAROVALNICA d.d., Ljubljana Firma v angleškem jeziku: SID - First Credit Insurance Company Inc., Ljubljana","SID - PRVA KREDITNA ZAVAROVALNICA d.d., Ljubljana Firma v angleškem jeziku: SID - First Credit Insurance Company Inc., Ljubljana",,"Davčna ulica 1, 1000 Ljubljana",", SID - PRVA KREDITNA ZAVAROVALNICA d.d., Ljubljana Firma v angleškem jeziku: SID - First Credit Insurance Company Inc., Ljubljana"
"ELEKTROOPTIKA, poslovne storitve, d.d.","ELEKTROOPTIKA, poslovne storitve, d.d.",,"Stegne 7, 1000 Ljubljana",", ELEKTROOPTIKA, poslovne storitve, d.d."
"Triglav INT, holdinška družba, d.d.","Triglav INT, holdinška družba, d.d.",,"Dunajska cesta 22, 1000 Ljubljana",", Triglav INT, holdinška družba, d.d."
"ISTRABENZ, holdinška družba, d.d.","ISTRABENZ, holdinška družba, d.d.",,"Cesta Zore Perello-Godina 2, 6000 Koper - Capodistria",", ISTRABENZ, holdinška družba, d.d."
"HIT ALPINEA, Družba za turizem, d.d.","HIT ALPINEA, Družba za turizem, d.d.",,"Borovška cesta 99, 4280 Kranjska Gora",", HIT ALPINEA, Družba za turizem, d.d."
HOTEL GRAD PODVIN D.D.,HOTEL GRAD PODVIN D.D.,,"Dunajska cesta 20, 1000 Ljubljana",", HOTEL GRAD PODVIN D.D."
"AVTOTEHNA, trgovina, proizvodnja in storitve, d.d.","AVTOTEHNA, trgovina, proizvodnja in storitve, d.d.",,"Litijska cesta 259, 1261 Ljubljana - Dobrunje",", AVTOTEHNA, trgovina, proizvodnja in storitve, d.d."
"TELEKOM SLOVENIJE, d.d.","TELEKOM SLOVENIJE, d.d.",,"Cigaletova ulica 15, 1000 Ljubljana",", TELEKOM SLOVENIJE, d.d."
MESO KAMNIK Mesna industrija d.d.,MESO KAMNIK Mesna industrija d.d.,,"Korenova cesta 9, 1241 Kamnik",", MESO KAMNIK Mesna industrija d.d."
JAVNA RAZSVETLJAVA d.d.,JAVNA RAZSVETLJAVA d.d.,,"Litijska cesta 263, 1261 Ljubljana - Dobrunje",", JAVNA RAZSVETLJAVA d.d."
"DOMPLAN, družba za inženiring, nepremičnine, urbanizem in energetiko, d.d.","DOMPLAN, družba za inženiring, nepremičnine, urbanizem in energetiko, d.d.",,"Bleiweisova cesta 14, 4000 Kranj",", DOMPLAN, družba za inženiring, nepremičnine, urbanizem in energetiko, d.d."
KOMUNALA Komunalno podjetje Nova Gorica d.d.,KOMUNALA Komunalno podjetje Nova Gorica d.d.,,"Cesta 25. junija 1, 5000 Nova Gorica",", KOMUNALA Komunalno podjetje Nova Gorica d.d."
"PETROL, Slovenska energetska družba, d.d., Ljubljana","PETROL, Slovenska energetska družba, d.d., Ljubljana",,"Dunajska cesta 50, 1000 Ljubljana",", PETROL, Slovenska energetska družba, d.d., Ljubljana"
ABANKA d.d.,ABANKA d.d.,,"Slovenska cesta 58, 1000 Ljubljana",", ABANKA d.d."
"JUB-H, družba za upravljanje in financiranje, d.d.","JUB-H, družba za upravljanje in financiranje, d.d.",,"Dol pri Ljubljani 28, 1262 Dol pri Ljubljani",", JUB-H, družba za upravljanje in financiranje, d.d."
"Paloma, higienski papirji, d.d.","Paloma, higienski papirji, d.d.",,"Sladki Vrh 1, 2214 Sladki vrh",", Paloma, higienski papirji, d.d."
MARIBORSKA LIVARNA MARIBOR d.d.,MARIBORSKA LIVARNA MARIBOR d.d.,,"Oreško nabrežje 9, 2000 Maribor",", MARIBORSKA LIVARNA MARIBOR d.d."
"APS, Avtoprevozništvo in servisi d.d.","APS, Avtoprevozništvo in servisi d.d.",,"Koroška cesta 64, 3320 Velenje",", APS, Avtoprevozništvo in servisi d.d."
CIMOS d.d. AVTOMOBILSKA INDUSTRIJA,CIMOS d.d. AVTOMOBILSKA INDUSTRIJA,,"Cesta Marežganskega upora 2, 6000 Koper - Capodistria",", CIMOS d.d. AVTOMOBILSKA INDUSTRIJA"
"PREMOGOVNIK VELENJE, d.d.","PREMOGOVNIK VELENJE, d.d.",,"Partizanska cesta 78, 3320 Velenje",", PREMOGOVNIK VELENJE, d.d."
TALUM Tovarna aluminija d.d. Kidričevo,TALUM Tovarna aluminija d.d. Kidričevo,,"Tovarniška cesta 10, 2325 Kidričevo",", TALUM Tovarna aluminija d.d. Kidričevo"
"POLZELA tovarna nogavic, d.d.","POLZELA tovarna nogavic, d.d.",,"Cvetlična ulica 3, 3313 Polzela",", POLZELA tovarna nogavic, d.d."
UNIOR Kovaška industrija d.d.,UNIOR Kovaška industrija d.d.,,"Kovaška cesta 10, 3214 Zreče",", UNIOR Kovaška industrija d.d."
"ISKRAEMECO, merjenje in upravljanje energije, d.d.","ISKRAEMECO, merjenje in upravljanje energije, d.d.",,"Savska loka 4, 4000 Kranj",", ISKRAEMECO, merjenje in upravljanje energije, d.d."
MLADINSKA KNJIGA ZALOŽBA d.d.,MLADINSKA KNJIGA ZALOŽBA d.d.,,"Slovenska cesta 29, 1000 Ljubljana",", MLADINSKA KNJIGA ZALOŽBA d.d."
"THERMANA D.D., DRUŽBA DOBREGA POČUTJA","THERMANA D.D., DRUŽBA DOBREGA POČUTJA",,"Zdraviliška cesta 6, 3270 Laško",", THERMANA D.D., DRUŽBA DOBREGA POČUTJA"
"ZAVAROVALNICA TRIGLAV, d.d.","ZAVAROVALNICA TRIGLAV, d.d.",,"Miklošičeva cesta 19, 1000 Ljubljana",", ZAVAROVALNICA TRIGLAV, d.d."
AVTOBUSNI PROMET Murska Sobota d.d.,AVTOBUSNI PROMET Murska Sobota d.d.,,"Bakovska ulica 29 A, 9000 Murska Sobota",", AVTOBUSNI PROMET Murska Sobota d.d."
"NIGRAD, komunalno podjetje, d.d.","NIGRAD, komunalno podjetje, d.d.",,"Zagrebška cesta 30, 2000 Maribor",", NIGRAD, komunalno podjetje, d.d."
"KOP Brežice, gradbeno podjetje, d.d.","KOP Brežice, gradbeno podjetje, d.d.",,"Cesta prvih borcev 9, 8250 Brežice",", KOP Brežice, gradbeno podjetje, d.d."
MARIBORSKI VODOVOD javno podjetje d.d.,MARIBORSKI VODOVOD javno podjetje d.d.,,"Jadranska cesta 24, 2000 Maribor",", MARIBORSKI VODOVOD javno podjetje d.d."
