Title,First Name,E-mail Address,Business Street,Company
SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,info@sb-ms.si,"Ulica dr. Vrbnjaka 6, 9000 Murska Sobota",", SPLOŠNA BOLNIŠNICA MURSKA SOBOTA"
Univerzitetna klinika za pljučne bolezni in alergijo Golnik,Univerzitetna klinika za pljučne bolezni in alergijo Golnik,tajnistvo@klinika-golnik.si,"Golnik 36, 4204 Golnik",", Univerzitetna klinika za pljučne bolezni in alergijo Golnik"
Univerzitetna psihiatrična klinika Ljubljana,Univerzitetna psihiatrična klinika Ljubljana,info@psih-klinika.si,"Studenec 48, 1260 Ljubljana - Polje",", Univerzitetna psihiatrična klinika Ljubljana"
ZDRAVSTVENI DOM GROSUPLJE,ZDRAVSTVENI DOM GROSUPLJE,info@zd-grosuplje.si,"Pod gozdom cesta I 14, 1290 Grosuplje",", ZDRAVSTVENI DOM GROSUPLJE"
OSNOVNA ŠOLA BRINJE GROSUPLJE,OSNOVNA ŠOLA BRINJE GROSUPLJE,brinje-grosuplje@guest.arnes.si,"Ljubljanska cesta 40 A, 1290 Grosuplje",", OSNOVNA ŠOLA BRINJE GROSUPLJE"
OSNOVNA ŠOLA NAKLO,OSNOVNA ŠOLA NAKLO,tajnistvo@os-naklo.si,"Glavna cesta 47, 4202 Naklo",", OSNOVNA ŠOLA NAKLO"
Javni zavod Kraške lekarne Ilirska Bistrica,Javni zavod Kraške lekarne Ilirska Bistrica,ana.kobal@krl.si,"Gregorčičeva cesta 8 A, 6250 Ilirska Bistrica",", Javni zavod Kraške lekarne Ilirska Bistrica"
Višja strokovna šola za gostinstvo in turizem Maribor,Višja strokovna šola za gostinstvo in turizem Maribor,referat@vsgt-mb.si,"Zagrebška cesta 18, 2000 Maribor",", Višja strokovna šola za gostinstvo in turizem Maribor"
"ZAVOD ZA ŠPORT, TURIZEM IN PROSTI ČAS SEŽANA","ZAVOD ZA ŠPORT, TURIZEM IN PROSTI ČAS SEŽANA",info@sport-sezana.com,"Kosovelova ulica 1 B, 6210 Sežana",", ZAVOD ZA ŠPORT, TURIZEM IN PROSTI ČAS SEŽANA"
DOM STAREJŠIH ŠENTJUR,DOM STAREJŠIH ŠENTJUR,ds.sentjur@ssz-slo.si,"Svetinova ulica 1, 3230 Šentjur",", DOM STAREJŠIH ŠENTJUR"
"ZAVOD ZA PODJETNIŠTVO, TURIZEM IN MLADINO BREŽICE","ZAVOD ZA PODJETNIŠTVO, TURIZEM IN MLADINO BREŽICE",mc-brezice@siol.net,"Gubčeva ulica 10 A, 8250 Brežice",", ZAVOD ZA PODJETNIŠTVO, TURIZEM IN MLADINO BREŽICE"
REGIONALNA RAZVOJNA AGENCIJA POSAVJE,REGIONALNA RAZVOJNA AGENCIJA POSAVJE,agencija@rra-posavje.si,"Cesta krških žrtev 2, 8270 Krško",", REGIONALNA RAZVOJNA AGENCIJA POSAVJE"
DOM STAREJŠIH OBČANOV TREBNJE,DOM STAREJŠIH OBČANOV TREBNJE,dso_trebnje@siol.net,"Stari trg 63, 8210 Trebnje",", DOM STAREJŠIH OBČANOV TREBNJE"
SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,info@sb-izola.si,"Polje 40, 6310 Izola - Isola",", SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA"
DOM STAREJŠIH LOGATEC,DOM STAREJŠIH LOGATEC,info@ds-logatec.si,"Gubčeva ulica 8 A, 1370 Logatec",", DOM STAREJŠIH LOGATEC"
VARSTVENO DELOVNI CENTER KRANJ,VARSTVENO DELOVNI CENTER KRANJ,vdc.kranj@siol.net,"Kidričeva cesta 51, 4000 Kranj",", VARSTVENO DELOVNI CENTER KRANJ"
VARSTVENO DELOVNI CENTER NOVO MESTO,VARSTVENO DELOVNI CENTER NOVO MESTO,vdcnm@siol.net,"Šmihel 3, 8000 Novo mesto",", VARSTVENO DELOVNI CENTER NOVO MESTO"
VARSTVENO DELOVNI CENTER KRŠKO-LESKOVEC,VARSTVENO DELOVNI CENTER KRŠKO-LESKOVEC,tajnistvo.vdc@siol.net,"Ulica Staneta Žagarja 4, 8273 Leskovec pri Krškem",", VARSTVENO DELOVNI CENTER KRŠKO-LESKOVEC"
VARSTVENO DELOVNI CENTER MURSKA SOBOTA,VARSTVENO DELOVNI CENTER MURSKA SOBOTA,vdcms@siol.net,"Trstenjakova ulica 69, 9000 Murska Sobota",", VARSTVENO DELOVNI CENTER MURSKA SOBOTA"
ZAVOD ZA TURIZEM IN ŠPORT V OBČINI KAMNIK,ZAVOD ZA TURIZEM IN ŠPORT V OBČINI KAMNIK,info@kamnik-tourism.si,"Glavni trg 2, 1241 Kamnik",", ZAVOD ZA TURIZEM IN ŠPORT V OBČINI KAMNIK"
"Zavod za turizem Maribor - Pohorje, javni zavod","Zavod za turizem Maribor - Pohorje, javni zavod",zzt@maribor.si,"Tkalski prehod 4, 2000 Maribor",", Zavod za turizem Maribor - Pohorje, javni zavod"
SLOVENSKA AKREDITACIJA Firma v angleškem jeziku: SLOVENIAN ACCREDITATION,SLOVENSKA AKREDITACIJA Firma v angleškem jeziku: SLOVENIAN ACCREDITATION,info@slo-akreditacija.si,"Šmartinska cesta 152, 1000 Ljubljana",", SLOVENSKA AKREDITACIJA Firma v angleškem jeziku: SLOVENIAN ACCREDITATION"
OSNOVNA ŠOLA DRSKA,OSNOVNA ŠOLA DRSKA,info@os-drska.si,"Ulica Slavka Gruma 63, 8000 Novo mesto",", OSNOVNA ŠOLA DRSKA"
GLEDALIŠČE KOPER TEATRO CAPODISTRIA,GLEDALIŠČE KOPER TEATRO CAPODISTRIA,info@gledalisce-koper.si,"Verdijeva ulica 3, 6000 Koper - Capodistria",", GLEDALIŠČE KOPER TEATRO CAPODISTRIA"
LETALSKI CENTER CERKLJE OB KRKI,LETALSKI CENTER CERKLJE OB KRKI,,"Cesta prvih borcev 18, 8250 Brežice",", LETALSKI CENTER CERKLJE OB KRKI"
ZAVOD REPUBLIKE SLOVENIJE ZA PRESADITVE ORGANOV IN TKIV SLOVENIJA TRANSPLANT,ZAVOD REPUBLIKE SLOVENIJE ZA PRESADITVE ORGANOV IN TKIV SLOVENIJA TRANSPLANT,danica.avsec@slovenija-transplant.si,"Zaloška cesta 7, 1000 Ljubljana",", ZAVOD REPUBLIKE SLOVENIJE ZA PRESADITVE ORGANOV IN TKIV SLOVENIJA TRANSPLANT"
DOM STAREJŠIH NA FARI,DOM STAREJŠIH NA FARI,dom.prevalje@siol.net,"Na Fari 50, 2391 Prevalje",", DOM STAREJŠIH NA FARI"
DOM STAREJŠIH OBČANOV LJUTOMER,DOM STAREJŠIH OBČANOV LJUTOMER,dso.ljutomer@siol.net,"Cesta I. slovenskega tabora 5, 9240 Ljutomer",", DOM STAREJŠIH OBČANOV LJUTOMER"
VARSTVENO DELOVNI CENTER TOLMIN,VARSTVENO DELOVNI CENTER TOLMIN,info@vdc-tolmin.si,"Rutarjeva ulica 18, 5220 Tolmin",", VARSTVENO DELOVNI CENTER TOLMIN"
TURIZEM LJUBLJANA,TURIZEM LJUBLJANA,info@visiljubljana.si,"Krekov trg 10, 1000 Ljubljana",", TURIZEM LJUBLJANA"
ZAVOD ZA ŠPORT JESENICE,ZAVOD ZA ŠPORT JESENICE,zsj.jesenice@siol.net,"Ledarska ulica 4, 4270 Jesenice",", ZAVOD ZA ŠPORT JESENICE"
VARSTVENO DELOVNI CENTER ČRNOMELJ,VARSTVENO DELOVNI CENTER ČRNOMELJ,vdccrn@siol.net,"Majer 7, 8340 Črnomelj",", VARSTVENO DELOVNI CENTER ČRNOMELJ"
VARSTVENO DELOVNI CENTER POSTOJNA,VARSTVENO DELOVNI CENTER POSTOJNA,info@vdc-postojna.si,"Pot k Pivki 2 B, 6230 Postojna",", VARSTVENO DELOVNI CENTER POSTOJNA"
