Title,First Name,E-mail Address,Business Street,Company
PROSTOVOLJNO GASILSKO DRUŠTVO KASAZE LIBOJE,PROSTOVOLJNO GASILSKO DRUŠTVO KASAZE LIBOJE,,"Liboje 8 B, 3301 Petrovče",", PROSTOVOLJNO GASILSKO DRUŠTVO KASAZE LIBOJE"
GASILSKA ZVEZA PREBOLD,GASILSKA ZVEZA PREBOLD,,"Hmeljarska cesta 3, 3312 Prebold",", GASILSKA ZVEZA PREBOLD"
GASILSKA ZVEZA LOŠKI POTOK,GASILSKA ZVEZA LOŠKI POTOK,,"Hrib-Loški Potok 17, 1318 Loški Potok",", GASILSKA ZVEZA LOŠKI POTOK"
RIBIŠKA DRUŽINA BOHINJ,RIBIŠKA DRUŽINA BOHINJ,,"Grajska ulica 10, 4264 Bohinjska Bistrica",", RIBIŠKA DRUŽINA BOHINJ"
GASILSKA ZVEZA KIDRIČEVO,GASILSKA ZVEZA KIDRIČEVO,,"Ulica Borisa Kraigherja 25, 2325 Kidričevo",", GASILSKA ZVEZA KIDRIČEVO"
Gasilska zveza občine Juršinci,Gasilska zveza občine Juršinci,,"Juršinci 3 B, 2256 Juršinci",", Gasilska zveza občine Juršinci"
Gasilska zveza Videm,Gasilska zveza Videm,,"Videm pri Ptuju 51 A, 2284 Videm pri Ptuju",", Gasilska zveza Videm"
Gasilska zveza Občine Dornava,Gasilska zveza Občine Dornava,,"Dornava 136, 2252 Dornava",", Gasilska zveza Občine Dornava"
ŠPORTNA ZVEZA OBČINE GORIŠNICA,ŠPORTNA ZVEZA OBČINE GORIŠNICA,,"Gorišnica 83, 2272 Gorišnica",", ŠPORTNA ZVEZA OBČINE GORIŠNICA"
JAMARSKI KLUB TIRSKI ZMAJ,JAMARSKI KLUB TIRSKI ZMAJ,,"Ter 66, 3333 Ljubno ob Savinji",", JAMARSKI KLUB TIRSKI ZMAJ"
DRUŠTVO SOŽITJE KAMNIK - DRUŠTVO ZA POMOČ OSEBAM Z MOTNJAMI V DUŠEVNEM RAZVOJU KAMNIK,DRUŠTVO SOŽITJE KAMNIK - DRUŠTVO ZA POMOČ OSEBAM Z MOTNJAMI V DUŠEVNEM RAZVOJU KAMNIK,,"Jenkova ulica 16, 1241 Kamnik",", DRUŠTVO SOŽITJE KAMNIK - DRUŠTVO ZA POMOČ OSEBAM Z MOTNJAMI V DUŠEVNEM RAZVOJU KAMNIK"
LOVSKA DRUŽINA KOZJE STENA,LOVSKA DRUŽINA KOZJE STENA,,"Otlica 39 A, 5270 Ajdovščina",", LOVSKA DRUŽINA KOZJE STENA"
LOVSKA DRUŽINA ŠKOFLJICA,LOVSKA DRUŽINA ŠKOFLJICA,,"Šmarska cesta 3, 1291 Škofljica",", LOVSKA DRUŽINA ŠKOFLJICA"
Gasilska zveza Destrnik,Gasilska zveza Destrnik,,"Janežovski Vrh 44, 2253 Destrnik",", Gasilska zveza Destrnik"
Lovska družina Sveta Marjeta niže Ptuja,Lovska družina Sveta Marjeta niže Ptuja,,"Placerovci 26, 2272 Gorišnica",", Lovska družina Sveta Marjeta niže Ptuja"
KULTURNO DRUŠTVO ODPEV,KULTURNO DRUŠTVO ODPEV,,"Mala vas 31, 2272 Gorišnica",", KULTURNO DRUŠTVO ODPEV"
LOVSKA DRUŽINA MURSKA SOBOTA,LOVSKA DRUŽINA MURSKA SOBOTA,,"Lendavska ulica 28, 9000 Murska Sobota",", LOVSKA DRUŽINA MURSKA SOBOTA"
LOVSKA DRUŽINA BAKOVCI-LIPOVCI,LOVSKA DRUŽINA BAKOVCI-LIPOVCI,,"Gramozna ulica 20, 9231 Beltinci",", LOVSKA DRUŽINA BAKOVCI-LIPOVCI"
PROSTOVOLJNO GASILSKO DRUŠTVO DRAŽGOŠE,PROSTOVOLJNO GASILSKO DRUŠTVO DRAŽGOŠE,,"Dražgoše 35 A, 4228 Železniki",", PROSTOVOLJNO GASILSKO DRUŠTVO DRAŽGOŠE"
DRUŠTVO GORSKE REŠEVALNE SLUŽBE ŠKOFJA LOKA,DRUŠTVO GORSKE REŠEVALNE SLUŽBE ŠKOFJA LOKA,,"Kidričeva cesta 51 A, 4220 Škofja Loka",", DRUŠTVO GORSKE REŠEVALNE SLUŽBE ŠKOFJA LOKA"
JAMARSKI KLUB KRKA,JAMARSKI KLUB KRKA,,"Krka 1 B, 1301 Krka",", JAMARSKI KLUB KRKA"
LOVSKA DRUŽINA MALEČNIK KOŠAKI,LOVSKA DRUŽINA MALEČNIK KOŠAKI,,"Celestrina 30 B, 2229 Malečnik",", LOVSKA DRUŽINA MALEČNIK KOŠAKI"
Gasilska zveza Sveti Tomaž,Gasilska zveza Sveti Tomaž,,"Savci 68, 2258 Sv.Tomaž",", Gasilska zveza Sveti Tomaž"
DRUŠTVO ZA RAZVOJ PODEŽELJA ZASAVJE,DRUŠTVO ZA RAZVOJ PODEŽELJA ZASAVJE,,"Cesta 9. avgusta 78 A, 1410 Zagorje ob Savi",", DRUŠTVO ZA RAZVOJ PODEŽELJA ZASAVJE"
LAS-DRUŠTVO ZA RAZVOJ PODEŽELJA ZGORNJE SAVINJSKE DOLINE,LAS-DRUŠTVO ZA RAZVOJ PODEŽELJA ZGORNJE SAVINJSKE DOLINE,,"Foršt 51, 3333 Ljubno ob Savinji",", LAS-DRUŠTVO ZA RAZVOJ PODEŽELJA ZGORNJE SAVINJSKE DOLINE"
