Title,First Name,E-mail Address,Business Street,Company
KOMUNALA Javno komunalno podjetje d.o.o. Gornji Grad,KOMUNALA Javno komunalno podjetje d.o.o. Gornji Grad,,"Kocbekova cesta 23, 3342 Gornji grad",", KOMUNALA Javno komunalno podjetje d.o.o. Gornji Grad"
PALOMA PIS družba za proizvodnjo in storitve d.o.o.,PALOMA PIS družba za proizvodnjo in storitve d.o.o.,,"Sladki Vrh 1, 2214 Sladki vrh",", PALOMA PIS družba za proizvodnjo in storitve d.o.o."
"Triglav Svetovanje, zavarovalno zastopanje, d.o.o.","Triglav Svetovanje, zavarovalno zastopanje, d.o.o.",,"Ljubljanska cesta 86, 1230 Domžale",", Triglav Svetovanje, zavarovalno zastopanje, d.o.o."
"ČISTA NARAVA, javno komunalno podjetje d.o.o.","ČISTA NARAVA, javno komunalno podjetje d.o.o.",,"Tešanovci 20, 9226 Moravske Toplice",", ČISTA NARAVA, javno komunalno podjetje d.o.o."
"RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.","RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.",,"Ljubljanska cesta 26, 8000 Novo mesto",", RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o."
SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,,"Savinjska cesta 2, 3331 Nazarje",", SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o."
"ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti","ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti",,"Dečkova cesta 1, 3000 Celje",", ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti"
"RAZVOJNA AGENCIJA SINERGIJA d.o.o., pospeševanje razvoja podjetništva ter gospodarskega in duhovnega razvoja podeželja","RAZVOJNA AGENCIJA SINERGIJA d.o.o., pospeševanje razvoja podjetništva ter gospodarskega in duhovnega razvoja podeželja",,"Kranjčeva ulica 3, 9226 Moravske Toplice",", RAZVOJNA AGENCIJA SINERGIJA d.o.o., pospeševanje razvoja podjetništva ter gospodarskega in duhovnega razvoja podeželja"
"KAMNOLOM VERD Podjetje za proizvodnjo kamnitih agregatov, d.o.o.","KAMNOLOM VERD Podjetje za proizvodnjo kamnitih agregatov, d.o.o.",,"Verd 145, 1360 Vrhnika",", KAMNOLOM VERD Podjetje za proizvodnjo kamnitih agregatov, d.o.o."
"INŠTITUT UNIVERZE V LJUBLJANI FAKULTETE ZA GRADBENIŠTVO IN GEODEZIJO, d.o.o.","INŠTITUT UNIVERZE V LJUBLJANI FAKULTETE ZA GRADBENIŠTVO IN GEODEZIJO, d.o.o.",,"Jamova cesta 2, 1000 Ljubljana",", INŠTITUT UNIVERZE V LJUBLJANI FAKULTETE ZA GRADBENIŠTVO IN GEODEZIJO, d.o.o."
JAVNO PODJETJE ZA GOSPODARJENJE S STAVBNIMI ZEMLJIŠČI d.o.o.,JAVNO PODJETJE ZA GOSPODARJENJE S STAVBNIMI ZEMLJIŠČI d.o.o.,,"Grajska ulica 7, 2000 Maribor",", JAVNO PODJETJE ZA GOSPODARJENJE S STAVBNIMI ZEMLJIŠČI d.o.o."
"EKOSUR - SL, ekologija, raziskave in razvoj d.o.o.","EKOSUR - SL, ekologija, raziskave in razvoj d.o.o.",,"Ulica XIV. divizije 14, 3000 Celje",", EKOSUR - SL, ekologija, raziskave in razvoj d.o.o."
"LIV KOLESA, proizvodnja, predelava in trgovina, d.o.o.","LIV KOLESA, proizvodnja, predelava in trgovina, d.o.o.",,"Industrijska cesta 2, 6230 Postojna",", LIV KOLESA, proizvodnja, predelava in trgovina, d.o.o."
"ZLATA MONETA II finančna družba, d.o.o.","ZLATA MONETA II finančna družba, d.o.o.",,"Trg Leona Štuklja 12, 2000 Maribor",", ZLATA MONETA II finančna družba, d.o.o."
"Nafta Lendava, proizvodnja naftnih derivatov, d.o.o., Lendava","Nafta Lendava, proizvodnja naftnih derivatov, d.o.o., Lendava",,"Trimlini 65 A, 9220 Lendava - Lendva",", Nafta Lendava, proizvodnja naftnih derivatov, d.o.o., Lendava"
"EPPS Elektronsko pismo Pošte Slovenije, d.o.o.","EPPS Elektronsko pismo Pošte Slovenije, d.o.o.",,"Stegne 13 A, 1000 Ljubljana",", EPPS Elektronsko pismo Pošte Slovenije, d.o.o."
CSO ORMOŽ center za starejše občane d.o.o.,CSO ORMOŽ center za starejše občane d.o.o.,,"Ulica dr. Hrovata 10 A, 2270 Ormož",", CSO ORMOŽ center za starejše občane d.o.o."
POZAVAROVALNICA TRIGLAV RE d.d.,POZAVAROVALNICA TRIGLAV RE d.d.,,"Miklošičeva cesta 19, 1000 Ljubljana",", POZAVAROVALNICA TRIGLAV RE d.d."
"SOLINE Pridelava soli, d.o.o.","SOLINE Pridelava soli, d.o.o.",,"Seča 115, 6320 Portorož - Portorose",", SOLINE Pridelava soli, d.o.o."
"ICJ družba za poslovanje z nepremičninami, inženiring in poslovno svetovanje, d.o.o. - v stečaju","ICJ družba za poslovanje z nepremičninami, inženiring in poslovno svetovanje, d.o.o. - v stečaju",,"Ljubljanska cesta 62, 1230 Domžale",", ICJ družba za poslovanje z nepremičninami, inženiring in poslovno svetovanje, d.o.o. - v stečaju"
PODJETNIŠKI CENTER SLOVENJ GRADEC svetovanje in razvoj d.o.o.,PODJETNIŠKI CENTER SLOVENJ GRADEC svetovanje in razvoj d.o.o.,,"Ronkova ulica 4, 2380 Slovenj Gradec",", PODJETNIŠKI CENTER SLOVENJ GRADEC svetovanje in razvoj d.o.o."
