Title,First Name,E-mail Address,Business Street,Company
ZDRUŽENJE SLOVENSKIH PIVOVARN GIZ,ZDRUŽENJE SLOVENSKIH PIVOVARN GIZ,,"Pivovarniška ulica 2, 1000 Ljubljana",", ZDRUŽENJE SLOVENSKIH PIVOVARN GIZ"
"PRLEŠKA RAZVOJNA AGENCIJA, GIZ","PRLEŠKA RAZVOJNA AGENCIJA, GIZ",,"Prešernova ulica 2, 9240 Ljutomer",", PRLEŠKA RAZVOJNA AGENCIJA, GIZ"
RAZVOJNA AGENCIJA SAVINJA,RAZVOJNA AGENCIJA SAVINJA,,"Ulica heroja Staneta 3, 3310 Žalec",", RAZVOJNA AGENCIJA SAVINJA"
"TURIZEM PODČETRTEK, BISTRICA OB SOTLI IN KOZJE, gospodarsko interesno združenje za pospeševanje turizma","TURIZEM PODČETRTEK, BISTRICA OB SOTLI IN KOZJE, gospodarsko interesno združenje za pospeševanje turizma",,"Škofja gora 1, 3254 Podčetrtek",", TURIZEM PODČETRTEK, BISTRICA OB SOTLI IN KOZJE, gospodarsko interesno združenje za pospeševanje turizma"
"NACIONALNI KOMITE PIARC SLOVENIJA, giz; v angleškem jeziku: NATIONAL COMMITTEE PIARC SLOVENIA giz, v francoskem jeziku: COMITE NATIONAL AIPCR SLOVENIE giz","NACIONALNI KOMITE PIARC SLOVENIJA, giz; v angleškem jeziku: NATIONAL COMMITTEE PIARC SLOVENIA giz, v francoskem jeziku: COMITE NATIONAL AIPCR SLOVENIE giz",,"Tržaška cesta 19, 1000 Ljubljana",", NACIONALNI KOMITE PIARC SLOVENIJA, giz; v angleškem jeziku: NATIONAL COMMITTEE PIARC SLOVENIA giz, v francoskem jeziku: COMITE NATIONAL AIPCR SLOVENIE giz"
"ZDRUŽENJE VIŠJIH STROKOVNIH ŠOL SLOVENIJE, gospodarsko interesno združenje","ZDRUŽENJE VIŠJIH STROKOVNIH ŠOL SLOVENIJE, gospodarsko interesno združenje",,"Pot na Lavo 22, 3000 Celje",", ZDRUŽENJE VIŠJIH STROKOVNIH ŠOL SLOVENIJE, gospodarsko interesno združenje"
"ZDRUŽENJE SLOVENSKIH FESTIVALOV, gospodarsko interesno združenje","ZDRUŽENJE SLOVENSKIH FESTIVALOV, gospodarsko interesno združenje",,"Trg francoske revolucije 1, 1000 Ljubljana",", ZDRUŽENJE SLOVENSKIH FESTIVALOV, gospodarsko interesno združenje"
"LTO ROGLA-ZREČE, gospodarsko interesno združenje za pospeševanje turizma","LTO ROGLA-ZREČE, gospodarsko interesno združenje za pospeševanje turizma",,"Cesta na Roglo 11 J, 3214 Zreče",", LTO ROGLA-ZREČE, gospodarsko interesno združenje za pospeševanje turizma"
"ZDRUŽENJE ZGODOVINSKIH MEST SLOVENIJE, Gospodarsko interesno združenje","ZDRUŽENJE ZGODOVINSKIH MEST SLOVENIJE, Gospodarsko interesno združenje",,"Mestni trg 15, 4220 Škofja Loka",", ZDRUŽENJE ZGODOVINSKIH MEST SLOVENIJE, Gospodarsko interesno združenje"
GOSPODARSKO INTERESNO ZDRUŽENJE ACS Slovenski avtomobilski grozd,GOSPODARSKO INTERESNO ZDRUŽENJE ACS Slovenski avtomobilski grozd,,"Dimičeva ulica 9, 1000 Ljubljana",", GOSPODARSKO INTERESNO ZDRUŽENJE ACS Slovenski avtomobilski grozd"
