Title,First Name,E-mail Address,Business Street,Company
DORN ROBERT - IZVRŠITELJ,DORN ROBERT - IZVRŠITELJ,,"Cesta krških žrtev 30, 8270 Krško",", DORN ROBERT - IZVRŠITELJ"
MARKOVČIČ LEON - IZVRŠITELJ,MARKOVČIČ LEON - IZVRŠITELJ,,"Kočna 1 B, 4273 Blejska Dobrava",", MARKOVČIČ LEON - IZVRŠITELJ"
GLAŽAR MILAN - IZVRŠITELJ,GLAŽAR MILAN - IZVRŠITELJ,,"Miklošičeva ulica 4, 2000 Maribor",", GLAŽAR MILAN - IZVRŠITELJ"
ROZMAN BORIS - IZVRŠITELJ,ROZMAN BORIS - IZVRŠITELJ,,"Biserjane 5 A, 9244 Sveti Jurij ob Ščavnici",", ROZMAN BORIS - IZVRŠITELJ"
OTONIČAR MILAN - IZVRŠITELJ,OTONIČAR MILAN - IZVRŠITELJ,,"Cankarjeva ulica 1, 6230 Postojna",", OTONIČAR MILAN - IZVRŠITELJ"
SLAVEC FRANKO - IZVRŠITELJ,SLAVEC FRANKO - IZVRŠITELJ,,"Vojkovo nabrežje 25, 6000 Koper - Capodistria",", SLAVEC FRANKO - IZVRŠITELJ"
KREVSEL VITO - IZVRŠITELJ,KREVSEL VITO - IZVRŠITELJ,,"Pod gozdom 2, 4270 Jesenice",", KREVSEL VITO - IZVRŠITELJ"
NIKOLIĆ PETAR - IZVRŠITELJ,NIKOLIĆ PETAR - IZVRŠITELJ,,"Demšarjeva cesta 3, 4220 Škofja Loka",", NIKOLIĆ PETAR - IZVRŠITELJ"
TRIFUNOVIĆ NIKOLA - IZVRŠITELJ,TRIFUNOVIĆ NIKOLA - IZVRŠITELJ,,"Mušičeva ulica 15, 8000 Novo mesto",", TRIFUNOVIĆ NIKOLA - IZVRŠITELJ"
ERLAČ BOJAN - IZVRŠITELJ,ERLAČ BOJAN - IZVRŠITELJ,,"Orešje 2 A, 2250 Ptuj",", ERLAČ BOJAN - IZVRŠITELJ"
GORAN IVKOVIĆ - IZVRŠITELJ,GORAN IVKOVIĆ - IZVRŠITELJ,,"Breznikova ulica 15, 1230 Domžale",", GORAN IVKOVIĆ - IZVRŠITELJ"
ZORAN KURET MAROLT - IZVRŠITELJ,ZORAN KURET MAROLT - IZVRŠITELJ,,"Kolodvorska cesta 2, 1290 Grosuplje",", ZORAN KURET MAROLT - IZVRŠITELJ"
PUŠENJAK FRANC - IZVRŠITELJ,PUŠENJAK FRANC - IZVRŠITELJ,,"Obrtna ulica 24, 9000 Murska Sobota",", PUŠENJAK FRANC - IZVRŠITELJ"
VALENT ALJOŠA - IZVRŠITELJ,VALENT ALJOŠA - IZVRŠITELJ,,"Vodnikova ulica 2, 2250 Ptuj",", VALENT ALJOŠA - IZVRŠITELJ"
PEČOLER IZTOK - IZVRŠITELJ,PEČOLER IZTOK - IZVRŠITELJ,,"Francetova cesta 7, 2380 Slovenj Gradec",", PEČOLER IZTOK - IZVRŠITELJ"
POŽAR MATJAŽ - IZVRŠITELJ,POŽAR MATJAŽ - IZVRŠITELJ,,"Žički prehod 4, 2000 Maribor",", POŽAR MATJAŽ - IZVRŠITELJ"
ŽEL JOŽE - IZVRŠITELJ,ŽEL JOŽE - IZVRŠITELJ,,"Strossmayerjeva ulica 28, 2000 Maribor",", ŽEL JOŽE - IZVRŠITELJ"
PEČOVNIK ALEŠ - IZVRŠITELJ,PEČOVNIK ALEŠ - IZVRŠITELJ,,"Efenkova cesta 61, 3320 Velenje",", PEČOVNIK ALEŠ - IZVRŠITELJ"
MILETIČ BOJAN - IZVRŠITELJ,MILETIČ BOJAN - IZVRŠITELJ,,"Partizanska cesta 22, 2000 Maribor",", MILETIČ BOJAN - IZVRŠITELJ"
MAVEC DANILO - IZVRŠITELJ,MAVEC DANILO - IZVRŠITELJ,,"Stegne 21, 1000 Ljubljana",", MAVEC DANILO - IZVRŠITELJ"
PETER OMAHEN - IZVRŠITELJ,PETER OMAHEN - IZVRŠITELJ,,"Stegne 21, 1000 Ljubljana",", PETER OMAHEN - IZVRŠITELJ"
SIMON JOVIĆ - IZVRŠITELJ,SIMON JOVIĆ - IZVRŠITELJ,,"Čirče 18, 4000 Kranj",", SIMON JOVIĆ - IZVRŠITELJ"
DEJAN BREZNIK - IZVRŠITELJ,DEJAN BREZNIK - IZVRŠITELJ,,"Dunajska cesta 405, 1231 Ljubljana - Črnuče",", DEJAN BREZNIK - IZVRŠITELJ"
HORVAT ZEC BRANKA - IZVRŠITELJICA,HORVAT ZEC BRANKA - IZVRŠITELJICA,,"Partizanska cesta 30, 2000 Maribor",", HORVAT ZEC BRANKA - IZVRŠITELJICA"
ANDREJ ŠRAMEL - IZVRŠITELJ,ANDREJ ŠRAMEL - IZVRŠITELJ,,"Trg Leona Štuklja 5, 2000 Maribor",", ANDREJ ŠRAMEL - IZVRŠITELJ"
BORIS LETNAR - IZVRŠITELJ,BORIS LETNAR - IZVRŠITELJ,,"Mestni trg 7 B, 3210 Slovenske Konjice",", BORIS LETNAR - IZVRŠITELJ"
DANIJEL VOMBEK - IZVRŠITELJ,DANIJEL VOMBEK - IZVRŠITELJ,,"Aškerčeva ulica 15, 3000 Celje",", DANIJEL VOMBEK - IZVRŠITELJ"
