Title,First Name,E-mail Address,Business Street,Company
Turizem Kranjska Gora,Turizem Kranjska Gora,info@kranjska-gora.eu,"Kolodvorska ulica 1 C, 4280 Kranjska Gora",", Turizem Kranjska Gora"
AGENCIJA ZA ZAVAROVALNI NADZOR,AGENCIJA ZA ZAVAROVALNI NADZOR,agencija@a-zn.si,"Trg republike 3, 1000 Ljubljana",", AGENCIJA ZA ZAVAROVALNI NADZOR"
AGENCIJA ZA KOMUNIKACIJSKA OMREŽJA IN STORITVE REPUBLIKE SLOVENIJE,AGENCIJA ZA KOMUNIKACIJSKA OMREŽJA IN STORITVE REPUBLIKE SLOVENIJE,info.box@akos-rs.si,"Stegne 7, 1000 Ljubljana",", AGENCIJA ZA KOMUNIKACIJSKA OMREŽJA IN STORITVE REPUBLIKE SLOVENIJE"
RAZVOJNA AGENCIJA ZGORNJE GORENJSKE,RAZVOJNA AGENCIJA ZGORNJE GORENJSKE,info@ragor.si,"Spodnji Plavž 24 E, 4270 Jesenice",", RAZVOJNA AGENCIJA ZGORNJE GORENJSKE"
RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o.,RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o.,,"Meža 10, 2370 Dravograd",", RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o."
AGENCIJA REPUBLIKE SLOVENIJE ZA JAVNOPRAVNE EVIDENCE IN STORITVE,AGENCIJA REPUBLIKE SLOVENIJE ZA JAVNOPRAVNE EVIDENCE IN STORITVE,gp@ajpes.si,"Tržaška cesta 16, 1000 Ljubljana",", AGENCIJA REPUBLIKE SLOVENIJE ZA JAVNOPRAVNE EVIDENCE IN STORITVE"
JAVNA RAZVOJNA AGENCIJA OBČINE ORMOŽ javna agencija,JAVNA RAZVOJNA AGENCIJA OBČINE ORMOŽ javna agencija,jara@siol.net,"Vrazova ulica 9, 2270 Ormož",", JAVNA RAZVOJNA AGENCIJA OBČINE ORMOŽ javna agencija"
JAVNA AGENCIJA ZA ŽELEZNIŠKI PROMET REPUBLIKE SLOVENIJE,JAVNA AGENCIJA ZA ŽELEZNIŠKI PROMET REPUBLIKE SLOVENIJE,gp.azp@azp.si,"Kopitarjeva ulica 5, 2000 Maribor",", JAVNA AGENCIJA ZA ŽELEZNIŠKI PROMET REPUBLIKE SLOVENIJE"
Javna agencija za raziskovalno dejavnost Republike Slovenije,Javna agencija za raziskovalno dejavnost Republike Slovenije,GlavnaPisarna@arrs.si,"Bleiweisova cesta 30, 1000 Ljubljana",", Javna agencija za raziskovalno dejavnost Republike Slovenije"
AGENCIJA ZA ENERGIJO,AGENCIJA ZA ENERGIJO,info@agen-rs.si,"Strossmayerjeva ulica 30, 2000 Maribor",", AGENCIJA ZA ENERGIJO"
JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA ZDRAVILA IN MEDICINSKE PRIPOMOČKE,JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA ZDRAVILA IN MEDICINSKE PRIPOMOČKE,info@jazmp.si,"Slovenčeva ulica 22, 1000 Ljubljana",", JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA ZDRAVILA IN MEDICINSKE PRIPOMOČKE"
Javna agencija za knjigo Republike Slovenije,Javna agencija za knjigo Republike Slovenije,gp.jakrs@jakrs.si,"Metelkova ulica 2 B, 1000 Ljubljana",", Javna agencija za knjigo Republike Slovenije"
Agencija za javni nadzor nad revidiranjem,Agencija za javni nadzor nad revidiranjem,info@anr.si,"Cankarjeva cesta 18, 1000 Ljubljana",", Agencija za javni nadzor nad revidiranjem"
Nacionalna agencija Republike Slovenije za kakovost v visokem šolstvu,Nacionalna agencija Republike Slovenije za kakovost v visokem šolstvu,info@nakvis.si,"Slovenska cesta 9, 1000 Ljubljana",", Nacionalna agencija Republike Slovenije za kakovost v visokem šolstvu"
"RASR, Razvojna agencija savinjske regije, d.o.o.","RASR, Razvojna agencija savinjske regije, d.o.o.",,"Ulica XIV. divizije 12, 3000 Celje",", RASR, Razvojna agencija savinjske regije, d.o.o."
JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA VARNOST PROMETA,JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA VARNOST PROMETA,info.avp@avp-rs.si,"Kotnikova ulica 19 A, 1000 Ljubljana",", JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA VARNOST PROMETA"
Javna agencija za civilno letalstvo Republike Slovenije,Javna agencija za civilno letalstvo Republike Slovenije,info@caa.si,"Kotnikova ulica 19 A, 1000 Ljubljana",", Javna agencija za civilno letalstvo Republike Slovenije"
KRAJEVNA SKUPNOST RADOMLJE,KRAJEVNA SKUPNOST RADOMLJE,igor.jeretina@gmail.com,"Prešernova cesta 43, 1235 Radomlje",", KRAJEVNA SKUPNOST RADOMLJE"
KRAJEVNA SKUPNOST TOMA BREJCA VIR,KRAJEVNA SKUPNOST TOMA BREJCA VIR,tal@siol.net,"Šaranovičeva cesta 19, 1230 Domžale",", KRAJEVNA SKUPNOST TOMA BREJCA VIR"
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,info@atvp.si,"Poljanski nasip 6, 1000 Ljubljana",", AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV"
"Slovenski filmski center, javna agencija Republike Slovenije","Slovenski filmski center, javna agencija Republike Slovenije",info@film-center.si,"Miklošičeva cesta 38, 1000 Ljubljana",", Slovenski filmski center, javna agencija Republike Slovenije"
JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA VARSTVO KONKURENCE,JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA VARSTVO KONKURENCE,gp.avk@gov.si,"Dunajska cesta 58, 1000 Ljubljana",", JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA VARSTVO KONKURENCE"
"Javna agencija Republike Slovenije za spodbujanje podjetništva, internacionalizacije, tujih investicij in tehnologije","Javna agencija Republike Slovenije za spodbujanje podjetništva, internacionalizacije, tujih investicij in tehnologije",info@spiritslovenia.si,"Verovškova ulica 60, 1000 Ljubljana",", Javna agencija Republike Slovenije za spodbujanje podjetništva, internacionalizacije, tujih investicij in tehnologije"
