Title,First Name,E-mail Address,Business Street,Company
ZAVOD ZA KULTURO SLOVENSKA BISTRICA,ZAVOD ZA KULTURO SLOVENSKA BISTRICA,tajnistvo@zavod-ksb.si,"Grajska ulica 11, 2310 Slovenska Bistrica",", ZAVOD ZA KULTURO SLOVENSKA BISTRICA"
"PARK ŠKOCJANSKE JAME, Slovenija","PARK ŠKOCJANSKE JAME, Slovenija",psj.info@psj.gov.si,"Škocjan 2, 6215 Divača",", PARK ŠKOCJANSKE JAME, Slovenija"
VRTEC SLOV. KONJICE,VRTEC SLOV. KONJICE,info@vrtec-konjice.si,"Slomškova ulica 1, 3210 Slovenske Konjice",", VRTEC SLOV. KONJICE"
CENTER ZA RAZVOJ TRBOVLJE,CENTER ZA RAZVOJ TRBOVLJE,obcina.trbovlje@trbovlje.si,"Mestni trg 4, 1420 Trbovlje",", CENTER ZA RAZVOJ TRBOVLJE"
SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,info@sb-ms.si,"Ulica dr. Vrbnjaka 6, 9000 Murska Sobota",", SPLOŠNA BOLNIŠNICA MURSKA SOBOTA"
VRTEC BELTINCI,VRTEC BELTINCI,vrtec.beltinci@v-beltinci.ms.edus.si,"Jugovo 33, 9231 Beltinci",", VRTEC BELTINCI"
ZAVOD ZA ŠPORT ŠKOFJA LOKA,ZAVOD ZA ŠPORT ŠKOFJA LOKA,zzs.loka@siol.net,"Podlubnik 1 C, 4220 Škofja Loka",", ZAVOD ZA ŠPORT ŠKOFJA LOKA"
VRTEC IG,VRTEC IG,vrtec-ig@guest.arnes.si,"Cesta na Kurešček 70, 1292 Ig",", VRTEC IG"
VRTEC IVANČNA GORICA,VRTEC IVANČNA GORICA,vvz.ivancna.gorica@siol.net,"Cesta občine Hirschaid 6, 1295 Ivančna Gorica",", VRTEC IVANČNA GORICA"
Univerzitetna klinika za pljučne bolezni in alergijo Golnik,Univerzitetna klinika za pljučne bolezni in alergijo Golnik,tajnistvo@klinika-golnik.si,"Golnik 36, 4204 Golnik",", Univerzitetna klinika za pljučne bolezni in alergijo Golnik"
Univerzitetna psihiatrična klinika Ljubljana,Univerzitetna psihiatrična klinika Ljubljana,info@psih-klinika.si,"Studenec 48, 1260 Ljubljana - Polje",", Univerzitetna psihiatrična klinika Ljubljana"
ZDRAVSTVENI DOM IVANČNA GORICA,ZDRAVSTVENI DOM IVANČNA GORICA,info@zd-ivg.si,"Cesta 2. grupe odredov 16, 1295 Ivančna Gorica",", ZDRAVSTVENI DOM IVANČNA GORICA"
ZDRAVSTVENI DOM GROSUPLJE,ZDRAVSTVENI DOM GROSUPLJE,info@zd-grosuplje.si,"Pod gozdom cesta I 14, 1290 Grosuplje",", ZDRAVSTVENI DOM GROSUPLJE"
OSNOVNA ŠOLA BRINJE GROSUPLJE,OSNOVNA ŠOLA BRINJE GROSUPLJE,brinje-grosuplje@guest.arnes.si,"Ljubljanska cesta 40 A, 1290 Grosuplje",", OSNOVNA ŠOLA BRINJE GROSUPLJE"
Javni zavod Glasbena šola Laško - Radeče,Javni zavod Glasbena šola Laško - Radeče,gs.lasko-radece@guest.si,"Šolska pot 5, 1433 Radeče",", Javni zavod Glasbena šola Laško - Radeče"
OSNOVNA ŠOLA NAKLO,OSNOVNA ŠOLA NAKLO,tajnistvo@os-naklo.si,"Glavna cesta 47, 4202 Naklo",", OSNOVNA ŠOLA NAKLO"
ZAVOD ZA ŠPORT Zagorje ob Savi,ZAVOD ZA ŠPORT Zagorje ob Savi,zzs-zagorje@siol.net,"Cesta 9. avgusta 44 A, 1410 Zagorje ob Savi",", ZAVOD ZA ŠPORT Zagorje ob Savi"
"ZAVOD ZA KULTURO, ŠPORT IN MLADINO OBČINE TOLMIN","ZAVOD ZA KULTURO, ŠPORT IN MLADINO OBČINE TOLMIN",info@ksmi-tolmin.si,"Dijaška ulica 12 C, 5220 Tolmin",", ZAVOD ZA KULTURO, ŠPORT IN MLADINO OBČINE TOLMIN"
"OSNOVNA ŠOLA POLJANE, 4223 POLJANE","OSNOVNA ŠOLA POLJANE, 4223 POLJANE",group.oskrpo@guest.arnes.si,"Poljane nad Škofjo Loko 100, 4223 Poljane nad Škofjo Loko",", OSNOVNA ŠOLA POLJANE, 4223 POLJANE"
GIMNAZIJA LITIJA,GIMNAZIJA LITIJA,tajnistvo@gimnazija-litija.si,"Bevkova ulica 1 C, 1270 Litija",", GIMNAZIJA LITIJA"
VRTEC MENGEŠ,VRTEC MENGEŠ,info@vrtec-menges.com,"Šolska ulica 12, 1234 Mengeš",", VRTEC MENGEŠ"
Turizem Kranjska Gora,Turizem Kranjska Gora,info@kranjska-gora.eu,"Kolodvorska ulica 1 C, 4280 Kranjska Gora",", Turizem Kranjska Gora"
Šola za hortikulturo in vizualne umetnosti Celje,Šola za hortikulturo in vizualne umetnosti Celje,tajnistvo@hvu.si,"Ljubljanska cesta 97, 3000 Celje",", Šola za hortikulturo in vizualne umetnosti Celje"
GIMNAZIJA JOŽETA PLEČNIKA Ljubljana,GIMNAZIJA JOŽETA PLEČNIKA Ljubljana,gjp@guest.arnes.si,"Šubičeva ulica 1, 1000 Ljubljana",", GIMNAZIJA JOŽETA PLEČNIKA Ljubljana"
ŠOLSKI CENTER ŠENTJUR,ŠOLSKI CENTER ŠENTJUR,solski.center-sentjur@guest.arnes.si,"Cesta na kmetijsko šolo 9, 3230 Šentjur",", ŠOLSKI CENTER ŠENTJUR"
VRTEC BLED,VRTEC BLED,info@vrtec-bled.si,"Trubarjeva cesta 7, 4260 Bled",", VRTEC BLED"
Javni zavod Kraške lekarne Ilirska Bistrica,Javni zavod Kraške lekarne Ilirska Bistrica,ana.kobal@krl.si,"Gregorčičeva cesta 8 A, 6250 Ilirska Bistrica",", Javni zavod Kraške lekarne Ilirska Bistrica"
JAVNI ZAVOD CENTER ZA MLADE DOMŽALE,JAVNI ZAVOD CENTER ZA MLADE DOMŽALE,info@czm-domzale.si,"Ljubljanska cesta 58, 1230 Domžale",", JAVNI ZAVOD CENTER ZA MLADE DOMŽALE"
VRTEC URŠA,VRTEC URŠA,vrtec.ursa@siol.net,"Murnova ulica 14, 1230 Domžale",", VRTEC URŠA"
OSNOVNA ŠOLA NAZARJE,OSNOVNA ŠOLA NAZARJE,os.nazarje@guest.arnes.si,"Zadrečka cesta 37, 3331 Nazarje",", OSNOVNA ŠOLA NAZARJE"
OSNOVNA ŠOLA LJUBEČNA,OSNOVNA ŠOLA LJUBEČNA,tajnistvo@os-ljubecna.si,"Kocbekova cesta 40 A, 3202 Ljubečna",", OSNOVNA ŠOLA LJUBEČNA"
KULTURNI DOM FRANCA BERNIKA DOMŽALE,KULTURNI DOM FRANCA BERNIKA DOMŽALE,info@kd-domzale.si,"Ljubljanska cesta 61, 1230 Domžale",", KULTURNI DOM FRANCA BERNIKA DOMŽALE"
CENTER ZA PODJETNIŠTVO IN TURIZEM KRŠKO,CENTER ZA PODJETNIŠTVO IN TURIZEM KRŠKO,info@cptkrsko.si,"Cesta krških žrtev 46, 8270 Krško",", CENTER ZA PODJETNIŠTVO IN TURIZEM KRŠKO"
