Title,First Name,E-mail Address,Business Street,Company
MINISTRSTVO ZA PRAVOSODJE,MINISTRSTVO ZA PRAVOSODJE,gp.mp@gov.si,"Župančičeva ulica 3, 1000 Ljubljana",", MINISTRSTVO ZA PRAVOSODJE"
MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,gp.mgrt@gov.si,"Kotnikova ulica 5, 1000 Ljubljana",", MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO"
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO","MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",gp.mko@gov.si,"Dunajska cesta 22, 1000 Ljubljana",", MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO"
MINISTRSTVO ZA INFRASTRUKTURO,MINISTRSTVO ZA INFRASTRUKTURO,gp.mzip@gov.si,"Langusova ulica 4, 1000 Ljubljana",", MINISTRSTVO ZA INFRASTRUKTURO"
"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT","MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",gp.mizs@gov.si,"Masarykova cesta 16, 1000 Ljubljana",", MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT"
MINISTRSTVO ZA KULTURO,MINISTRSTVO ZA KULTURO,gp.mk@gov.si,"Maistrova ulica 10, 1000 Ljubljana",", MINISTRSTVO ZA KULTURO"
MINISTRSTVO ZA JAVNO UPRAVO,MINISTRSTVO ZA JAVNO UPRAVO,gp.mnz@gov.si,"Tržaška cesta 21, 1000 Ljubljana",", MINISTRSTVO ZA JAVNO UPRAVO"
MINISTRSTVO ZA OKOLJE IN PROSTOR,MINISTRSTVO ZA OKOLJE IN PROSTOR,gp.mko@gov.si,"Dunajska cesta 48, 1000 Ljubljana",", MINISTRSTVO ZA OKOLJE IN PROSTOR"
"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI","REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI",gp.mddsz@gov.si,"Kotnikova ulica 28, 1000 Ljubljana",", REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI"
MINISTRSTVO ZA FINANCE,MINISTRSTVO ZA FINANCE,gp.mf@gov.si,"Župančičeva ulica 3, 1000 Ljubljana",", MINISTRSTVO ZA FINANCE"
MINISTRSTVO ZA NOTRANJE ZADEVE,MINISTRSTVO ZA NOTRANJE ZADEVE,gp.mnz@gov.si,"Štefanova ulica 2, 1000 Ljubljana",", MINISTRSTVO ZA NOTRANJE ZADEVE"
MINISTRSTVO ZA ZDRAVJE,MINISTRSTVO ZA ZDRAVJE,gp.mz@gov.si,"Štefanova ulica 5, 1000 Ljubljana",", MINISTRSTVO ZA ZDRAVJE"
MINISTRSTVO ZA ZUNANJE ZADEVE,MINISTRSTVO ZA ZUNANJE ZADEVE,info.mzz@gov.si,"Prešernova cesta 25, 1000 Ljubljana",", MINISTRSTVO ZA ZUNANJE ZADEVE"
MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,glavna.pisarna@mors.si,"Vojkova cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE"
