Title,First Name,E-mail Address,Business Street,Company
SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI -PIRAN COMUNITA` AUTOGESTITA DELLA NAZIONALITA` ITALIANA-PIRANO,SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI -PIRAN COMUNITA` AUTOGESTITA DELLA NAZIONALITA` ITALIANA-PIRANO,comunita.italiana@siol.net,"Kajuhova ulica 12, 6330 Piran - Pirano",", SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI -PIRAN COMUNITA` AUTOGESTITA DELLA NAZIONALITA` ITALIANA-PIRANO"
MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE HODOŠ HODOS KÖZSÉGI MAGYAR NEMZETI ÖNKORMÁNYZATI KÖZÖSSÉG,MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE HODOŠ HODOS KÖZSÉGI MAGYAR NEMZETI ÖNKORMÁNYZATI KÖZÖSSÉG,madzarska.skup@siol.net,"Hodoš 52, 9205 Hodoš - Hodos",", MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE HODOŠ HODOS KÖZSÉGI MAGYAR NEMZETI ÖNKORMÁNYZATI KÖZÖSSÉG"
MADŽARSKA NARODNA SAMOUPRAVNA SKUPNOST OBČINE ŠALOVCI,MADŽARSKA NARODNA SAMOUPRAVNA SKUPNOST OBČINE ŠALOVCI,madzarska.skupnost.domanjsevci@siol.net,"Domanjševci 67, 9206 Križevci",", MADŽARSKA NARODNA SAMOUPRAVNA SKUPNOST OBČINE ŠALOVCI"
MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE DOBROVNIK DOBRONAK KÖZSEGI MAGYAR ÖNKORMANYZATI NEMZETI KÖZÖSSEG,MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE DOBROVNIK DOBRONAK KÖZSEGI MAGYAR ÖNKORMANYZATI NEMZETI KÖZÖSSEG,info@dobronak.si,"Dobrovnik 297, 9223 Dobrovnik - Dobronak",", MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE DOBROVNIK DOBRONAK KÖZSEGI MAGYAR ÖNKORMANYZATI NEMZETI KÖZÖSSEG"
Comunita` autogestita della nazionalita` Italiana di Ancarano - SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI ANKARAN,Comunita` autogestita della nazionalita` Italiana di Ancarano - SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI ANKARAN,can.ancarano@gmail.com,"Jadranska cesta 66, 6280 Ankaran - Ancarano",", Comunita` autogestita della nazionalita` Italiana di Ancarano - SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI ANKARAN"
OBALNA SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI COMUNITA' AUTOGESTITA COSTIERA DELLA NAZIONALITA' ITALIANA,OBALNA SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI COMUNITA' AUTOGESTITA COSTIERA DELLA NAZIONALITA' ITALIANA,cna_costiera@siol.net,"Župančičeva ulica 18, 6000 Koper - Capodistria",", OBALNA SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI COMUNITA' AUTOGESTITA COSTIERA DELLA NAZIONALITA' ITALIANA"
SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI KOPER COMUNITA` AUTOGESTITA DELLA NAZIONALITA` ITALIANA DI CAPODISTRIA,SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI KOPER COMUNITA` AUTOGESTITA DELLA NAZIONALITA` ITALIANA DI CAPODISTRIA,can.capodistria@t-2.net,"Župančičeva ulica 39, 6000 Koper - Capodistria",", SAMOUPRAVNA SKUPNOST ITALIJANSKE NARODNOSTI KOPER COMUNITA` AUTOGESTITA DELLA NAZIONALITA` ITALIANA DI CAPODISTRIA"
"COMUNITA' AUTOGESTITA DELLA NAZIONALITA' ITALIANA DI ISOLA, ITALIJANSKA SAMOUPRAVNA NARODNA SKUPNOST-IZOLA","COMUNITA' AUTOGESTITA DELLA NAZIONALITA' ITALIANA DI ISOLA, ITALIJANSKA SAMOUPRAVNA NARODNA SKUPNOST-IZOLA",isns@siol.net,"Manziolijev trg 5, 6310 Izola - Isola",", COMUNITA' AUTOGESTITA DELLA NAZIONALITA' ITALIANA DI ISOLA, ITALIJANSKA SAMOUPRAVNA NARODNA SKUPNOST-IZOLA"
POMURSKA MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST MURAVIDEKI MAGYAR ONKORMANYZATI NEMZETI KOZOSSEG,POMURSKA MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST MURAVIDEKI MAGYAR ONKORMANYZATI NEMZETI KOZOSSEG,pmsns@muravidek.si,"Glavna ulica 124, 9220 Lendava - Lendva",", POMURSKA MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST MURAVIDEKI MAGYAR ONKORMANYZATI NEMZETI KOZOSSEG"
MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE LENDAVA - LENDVA KÖZSÉGI MAGYAR NEMZETI ÖNKORMÁNYZATI KÖZÖSSÉG,MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE LENDAVA - LENDVA KÖZSÉGI MAGYAR NEMZETI ÖNKORMÁNYZATI KÖZÖSSÉG,lkmo@siol.net,"Mlinska ulica 6 A, 9220 Lendava - Lendva",", MADŽARSKA SAMOUPRAVNA NARODNA SKUPNOST OBČINE LENDAVA - LENDVA KÖZSÉGI MAGYAR NEMZETI ÖNKORMÁNYZATI KÖZÖSSÉG"
MADŽARSKA NARODNA SAMOUPRAVNA SKUPNOST OBČINE MORAVSKE TOPLICE - MORAVSKE TOPLICE KOZSEGI MAGYAR NEMZETI ONIGAZGATASI KOZOSSEG,MADŽARSKA NARODNA SAMOUPRAVNA SKUPNOST OBČINE MORAVSKE TOPLICE - MORAVSKE TOPLICE KOZSEGI MAGYAR NEMZETI ONIGAZGATASI KOZOSSEG,sonja.voros.mnss@gmail.com,"Prosenjakovci 96, 9207 Prosenjakovci - Pártosfalva",", MADŽARSKA NARODNA SAMOUPRAVNA SKUPNOST OBČINE MORAVSKE TOPLICE - MORAVSKE TOPLICE KOZSEGI MAGYAR NEMZETI ONIGAZGATASI KOZOSSEG"
