Title,First Name,E-mail Address,Business Street,Company
SKUPNA OBČINSKA UPRAVA OBČIN V SPODNJEM PODRAVJU,SKUPNA OBČINSKA UPRAVA OBČIN V SPODNJEM PODRAVJU,sou@ptuj.si,"Mestni trg 1, 2250 Ptuj",", SKUPNA OBČINSKA UPRAVA OBČIN V SPODNJEM PODRAVJU"
"MEDOBČINSKI URAD OBČIN SLOVENSKE KONJICE, VITANJE IN ZREČE","MEDOBČINSKI URAD OBČIN SLOVENSKE KONJICE, VITANJE IN ZREČE",,"Stari trg 29, 3210 Slovenske Konjice",", MEDOBČINSKI URAD OBČIN SLOVENSKE KONJICE, VITANJE IN ZREČE"
"SKUPNA OBČINSKA UPRAVA ""MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN DOBREPOLJE, LOŠKI POTOK, RIBNICA, SODRAŽICA IN VELIKE LAŠČE""","SKUPNA OBČINSKA UPRAVA ""MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN DOBREPOLJE, LOŠKI POTOK, RIBNICA, SODRAŽICA IN VELIKE LAŠČE""",inspektorat-redarstvo@ribnica.si,"Gorenjska cesta 9, 1310 Ribnica",", SKUPNA OBČINSKA UPRAVA ""MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN DOBREPOLJE, LOŠKI POTOK, RIBNICA, SODRAŽICA IN VELIKE LAŠČE"""
"MEDOBČINSKA UPRAVA OBČIN ŠEMPETER - VRTOJBA, RENČE - VOGRSKO, MIREN - KOSTANJEVICA IN VIPAVA","MEDOBČINSKA UPRAVA OBČIN ŠEMPETER - VRTOJBA, RENČE - VOGRSKO, MIREN - KOSTANJEVICA IN VIPAVA",medobcinska.uprava@sempeter-vrtojba.si,"Cesta Goriške fronte 11, 5290 Šempeter pri Gorici",", MEDOBČINSKA UPRAVA OBČIN ŠEMPETER - VRTOJBA, RENČE - VOGRSKO, MIREN - KOSTANJEVICA IN VIPAVA"
SKUPNA UPRAVA MEDOBČINSKI INŠPEKTORAT IN REDARSTVO,SKUPNA UPRAVA MEDOBČINSKI INŠPEKTORAT IN REDARSTVO,inspektorat.redarstvo@vrhnika.si,"Cankarjev trg 4, 1360 Vrhnika",", SKUPNA UPRAVA MEDOBČINSKI INŠPEKTORAT IN REDARSTVO"
"SKUPNA NOTRANJE REVIZIJSKA SLUŽBA OBČIN JESENICE, BOHINJ, GORJE, KRANJSKA GORA IN ŽIROVNICA","SKUPNA NOTRANJE REVIZIJSKA SLUŽBA OBČIN JESENICE, BOHINJ, GORJE, KRANJSKA GORA IN ŽIROVNICA",obcina.jesenice@jesenice.si,"Cesta železarjev 6, 4270 Jesenice",", SKUPNA NOTRANJE REVIZIJSKA SLUŽBA OBČIN JESENICE, BOHINJ, GORJE, KRANJSKA GORA IN ŽIROVNICA"
"MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN JESENICE, GORJE, KRANJSKA GORA IN ŽIROVNICA","MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN JESENICE, GORJE, KRANJSKA GORA IN ŽIROVNICA",obcina.jesenice@jesenice.si,"Cesta železarjev 6, 4270 Jesenice",", MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN JESENICE, GORJE, KRANJSKA GORA IN ŽIROVNICA"
"MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN DOBJE, DOBRNA, OPLOTNICA, SLOVENSKE KONJICE, ŠENTJUR, VITANJE, VOJNIK IN ZREČE","MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN DOBJE, DOBRNA, OPLOTNICA, SLOVENSKE KONJICE, ŠENTJUR, VITANJE, VOJNIK IN ZREČE",inspekcija@vojnik.si,"Keršova ulica 12, 3212 Vojnik",", MEDOBČINSKI INŠPEKTORAT IN REDARSTVO OBČIN DOBJE, DOBRNA, OPLOTNICA, SLOVENSKE KONJICE, ŠENTJUR, VITANJE, VOJNIK IN ZREČE"
MEDOBČINSKA UPRAVA MESTNE OBČINE NOVA GORICA IN OBČINE BRDA,MEDOBČINSKA UPRAVA MESTNE OBČINE NOVA GORICA IN OBČINE BRDA,medobčinska.uprava@nova-gorica.si,"Trg Edvarda Kardelja 1, 5000 Nova Gorica",", MEDOBČINSKA UPRAVA MESTNE OBČINE NOVA GORICA IN OBČINE BRDA"
"SKUPNA OBČINSKA UPRAVA OBČIN DOBRNA, VITANJE IN VOJNIK","SKUPNA OBČINSKA UPRAVA OBČIN DOBRNA, VITANJE IN VOJNIK",sou-racunovodstvo@vojnik.si,"Keršova ulica 8, 3212 Vojnik",", SKUPNA OBČINSKA UPRAVA OBČIN DOBRNA, VITANJE IN VOJNIK"
