Title,First Name,E-mail Address,Business Street,Company
USTANOVA DR.ŠIFTARJEVA FUNDACIJA,USTANOVA DR.ŠIFTARJEVA FUNDACIJA,,"Petanjci 19, 9251 Tišina",", USTANOVA DR.ŠIFTARJEVA FUNDACIJA"
PREŽIHOVA USTANOVA,PREŽIHOVA USTANOVA,,"Gačnikova pot 5, 2390 Ravne na Koroškem",", PREŽIHOVA USTANOVA"
"TURIZEM BLED, zavod za pospeševanje turizma Bled","TURIZEM BLED, zavod za pospeševanje turizma Bled",,"Ljubljanska cesta 27, 4260 Bled",", TURIZEM BLED, zavod za pospeševanje turizma Bled"
"MEDNARODNA AKADEMIJA, USTANOVA ZA MANAGEMENT IN INFORMACIJSKO TEHNOLOGIJO","MEDNARODNA AKADEMIJA, USTANOVA ZA MANAGEMENT IN INFORMACIJSKO TEHNOLOGIJO",,"Celovška cesta 25, 1000 Ljubljana",", MEDNARODNA AKADEMIJA, USTANOVA ZA MANAGEMENT IN INFORMACIJSKO TEHNOLOGIJO"
ITF USTANOVA ZA KREPITEV ČLOVEKOVE VARNOSTI,ITF USTANOVA ZA KREPITEV ČLOVEKOVE VARNOSTI,,"Zabrv 12, 1292 Ig",", ITF USTANOVA ZA KREPITEV ČLOVEKOVE VARNOSTI"
KA-TV Zavod za razvoj kabelsko-satelitskega televizijskega sistema Tolmin,KA-TV Zavod za razvoj kabelsko-satelitskega televizijskega sistema Tolmin,,"Prešernova ulica 4, 5220 Tolmin",", KA-TV Zavod za razvoj kabelsko-satelitskega televizijskega sistema Tolmin"
INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI,INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI,,"Poljanski nasip 2, 1000 Ljubljana",", INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI"
ZDRUŽENJE SLOVENSKIH PIVOVARN GIZ,ZDRUŽENJE SLOVENSKIH PIVOVARN GIZ,,"Pivovarniška ulica 2, 1000 Ljubljana",", ZDRUŽENJE SLOVENSKIH PIVOVARN GIZ"
"ZVEZA SLOVENSKIH GLASBENIH ŠOL, SKUPNOST ZAVODOV, LJUBLJANA","ZVEZA SLOVENSKIH GLASBENIH ŠOL, SKUPNOST ZAVODOV, LJUBLJANA",,"Jenkova cesta 4, 3320 Velenje",", ZVEZA SLOVENSKIH GLASBENIH ŠOL, SKUPNOST ZAVODOV, LJUBLJANA"
"PRLEŠKA RAZVOJNA AGENCIJA, GIZ","PRLEŠKA RAZVOJNA AGENCIJA, GIZ",,"Prešernova ulica 2, 9240 Ljutomer",", PRLEŠKA RAZVOJNA AGENCIJA, GIZ"
SKUPNOST VRTCEV REPUBLIKE SLOVENIJE,SKUPNOST VRTCEV REPUBLIKE SLOVENIJE,,"Rašiška ulica 7, 1000 Ljubljana",", SKUPNOST VRTCEV REPUBLIKE SLOVENIJE"
