Title,First Name,E-mail Address,Business Street,Company
TOPLEK NEDA - LEKARNA TOP-LEK,TOPLEK NEDA - LEKARNA TOP-LEK,,"Potrčeva cesta 23, 2250 Ptuj",", TOPLEK NEDA - LEKARNA TOP-LEK"
BRENČIČ JERICA - LEKARNA MURGLE,BRENČIČ JERICA - LEKARNA MURGLE,,"Cesta v Mestni log 55, 1000 Ljubljana",", BRENČIČ JERICA - LEKARNA MURGLE"
GJERKEŠ PANCIĆ JADRANKA - LEKARNARKA,GJERKEŠ PANCIĆ JADRANKA - LEKARNARKA,,"Kolodvorska cesta 2, 6000 Koper - Capodistria",", GJERKEŠ PANCIĆ JADRANKA - LEKARNARKA"
ŽBONTAR URŠKA - LEKARNA MLAKA,ŽBONTAR URŠKA - LEKARNA MLAKA,,"Golniška cesta 105, 4000 Kranj",", ŽBONTAR URŠKA - LEKARNA MLAKA"
ŠINIGOJ BARBARA - LEKARNAR,ŠINIGOJ BARBARA - LEKARNAR,,"Ulica Gradnikove brigade 47, 5000 Nova Gorica",", ŠINIGOJ BARBARA - LEKARNAR"
BRIŠNIK MARIJA - LEKARNAR,BRIŠNIK MARIJA - LEKARNAR,,"Vransko 130 D, 3305 Vransko",", BRIŠNIK MARIJA - LEKARNAR"
LOVRIČ TATJANA - LEKARNAR,LOVRIČ TATJANA - LEKARNAR,,"Ulica Vinka Vodopivca 7, 5000 Nova Gorica",", LOVRIČ TATJANA - LEKARNAR"
BIZJAK JOŽICA MILENA - LEKARNA BIZJAK,BIZJAK JOŽICA MILENA - LEKARNA BIZJAK,,"Šmartinska cesta 152, 1000 Ljubljana",", BIZJAK JOŽICA MILENA - LEKARNA BIZJAK"
GALEŠA MOJCA-MARIJA - LEKARNIŠKA DEJAVNOST,GALEŠA MOJCA-MARIJA - LEKARNIŠKA DEJAVNOST,,"Ulica talcev 26, 8351 Straža pri Novem mestu",", GALEŠA MOJCA-MARIJA - LEKARNIŠKA DEJAVNOST"
KORITNIK-DULAR ALENKA - LEKARNA NA VIDMU,KORITNIK-DULAR ALENKA - LEKARNA NA VIDMU,,"Cesta 4. julija 40 A, 8270 Krško",", KORITNIK-DULAR ALENKA - LEKARNA NA VIDMU"
PUŠNIK HENRIK - LEKARNA PUŠNIK,PUŠNIK HENRIK - LEKARNA PUŠNIK,,"Obrtniška cesta 29, 1420 Trbovlje",", PUŠNIK HENRIK - LEKARNA PUŠNIK"
JURJEC DAMIJAN - LEKARNAR,JURJEC DAMIJAN - LEKARNAR,,"Trška cesta 67, 3254 Podčetrtek",", JURJEC DAMIJAN - LEKARNAR"
MISJA - LAKOŽIČ MAJDA - LEKARNA,MISJA - LAKOŽIČ MAJDA - LEKARNA,,"Slovenska ulica 33, 2000 Maribor",", MISJA - LAKOŽIČ MAJDA - LEKARNA"
