Title,First Name,E-mail Address,Business Street,Company
LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE,LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE,,"Roška cesta 22, 1330 Kočevje",", LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE"
VALENTIČ ZVONIMIR - ZOBOZDRAVNIK,VALENTIČ ZVONIMIR - ZOBOZDRAVNIK,,"Roška cesta 18, 1330 Kočevje",", VALENTIČ ZVONIMIR - ZOBOZDRAVNIK"
KUZMANOVIĆ ČEDOMIR - ZASEBNI ZOBOZDRAVNIK,KUZMANOVIĆ ČEDOMIR - ZASEBNI ZOBOZDRAVNIK,,"Gubčeva cesta 9 A, 8210 Trebnje",", KUZMANOVIĆ ČEDOMIR - ZASEBNI ZOBOZDRAVNIK"
CAR MIRJANA - ZDRAVSTVENA NEGA IN PATRONAŽA NA DOMU,CAR MIRJANA - ZDRAVSTVENA NEGA IN PATRONAŽA NA DOMU,,"Bevkova ulica 2, 8340 Črnomelj",", CAR MIRJANA - ZDRAVSTVENA NEGA IN PATRONAŽA NA DOMU"
"KURENT ZORAN - SPECIALISTIČNA AMBULANTA ZA BOLEZNI UŠES, NOSU IN GRLA","KURENT ZORAN - SPECIALISTIČNA AMBULANTA ZA BOLEZNI UŠES, NOSU IN GRLA",,"Smoletova ulica 18, 1000 Ljubljana",", KURENT ZORAN - SPECIALISTIČNA AMBULANTA ZA BOLEZNI UŠES, NOSU IN GRLA"
NIKOLIĆ JANJA - ZOBNA ORDINACIJA ZA ODRASLE IN MLADINO-NIKOLIĆ JANJA,NIKOLIĆ JANJA - ZOBNA ORDINACIJA ZA ODRASLE IN MLADINO-NIKOLIĆ JANJA,,"Bizeljska cesta 49, 8259 Bizeljsko",", NIKOLIĆ JANJA - ZOBNA ORDINACIJA ZA ODRASLE IN MLADINO-NIKOLIĆ JANJA"
"ZASEBNA INTERNISTIČNO-PULMOLOŠKA AMBULANTA KATA PAUN, DR. MED. SPECIALIST INTERNIST","ZASEBNA INTERNISTIČNO-PULMOLOŠKA AMBULANTA KATA PAUN, DR. MED. SPECIALIST INTERNIST",,"Zadružna cesta 33, 8340 Črnomelj",", ZASEBNA INTERNISTIČNO-PULMOLOŠKA AMBULANTA KATA PAUN, DR. MED. SPECIALIST INTERNIST"
LAVRENČIČ VIOLANDA - SPLOŠNO ZOBOZDRAVSTVO,LAVRENČIČ VIOLANDA - SPLOŠNO ZOBOZDRAVSTVO,,"Slovenska cesta 7, 1354 Horjul",", LAVRENČIČ VIOLANDA - SPLOŠNO ZOBOZDRAVSTVO"
PRIVŠEK IZTOK - ZOBOZDRAVSTVO,PRIVŠEK IZTOK - ZOBOZDRAVSTVO,,"Opekarska cesta 11, 1000 Ljubljana",", PRIVŠEK IZTOK - ZOBOZDRAVSTVO"
PIRC JANJA - AMBULANTA SPLOŠNE MEDICINE,PIRC JANJA - AMBULANTA SPLOŠNE MEDICINE,,"Slovenska cesta 17, 1354 Horjul",", PIRC JANJA - AMBULANTA SPLOŠNE MEDICINE"
ZALAR MARIJA - PATRONAŽA,ZALAR MARIJA - PATRONAŽA,,"Kočevska cesta 25, 1291 Škofljica",", ZALAR MARIJA - PATRONAŽA"
"ZOBNA AMBULANTA Tomislav Lajtner, dr.dent.med.","ZOBNA AMBULANTA Tomislav Lajtner, dr.dent.med.",,"Tlaka 10, 3342 Gornji grad",", ZOBNA AMBULANTA Tomislav Lajtner, dr.dent.med."
ZASEBNA ZOBNA ORDINACIJA ANA LENKO DR.DENT.MED.,ZASEBNA ZOBNA ORDINACIJA ANA LENKO DR.DENT.MED.,,"Foršt 55, 3333 Ljubno ob Savinji",", ZASEBNA ZOBNA ORDINACIJA ANA LENKO DR.DENT.MED."
GRMEK MIRJAM - OTROŠKI DISPANZER,GRMEK MIRJAM - OTROŠKI DISPANZER,,"Prečna ulica 2, 6230 Postojna",", GRMEK MIRJAM - OTROŠKI DISPANZER"
GRUJIĆ SPOMENKA - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA OTROK IN MLADINE,GRUJIĆ SPOMENKA - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA OTROK IN MLADINE,,"Prečna ulica 2, 6230 Postojna",", GRUJIĆ SPOMENKA - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA OTROK IN MLADINE"
ZASEBNA ZOBNA AMBULANTA ZA OTROKE IN MLADINO MARTINOVIĆ SLAĐANA dr. dent. med.,ZASEBNA ZOBNA AMBULANTA ZA OTROKE IN MLADINO MARTINOVIĆ SLAĐANA dr. dent. med.,,"Prečna ulica 3, 6257 Pivka",", ZASEBNA ZOBNA AMBULANTA ZA OTROKE IN MLADINO MARTINOVIĆ SLAĐANA dr. dent. med."
RŽEK IVAN - SPECIALISTIČNA AMBULANTA,RŽEK IVAN - SPECIALISTIČNA AMBULANTA,,"Prečna ulica 2, 6230 Postojna",", RŽEK IVAN - SPECIALISTIČNA AMBULANTA"
ŠVENT BEATRIX MARGARET - ZASEBNA ORDINACIJA,ŠVENT BEATRIX MARGARET - ZASEBNA ORDINACIJA,,"Prečna ulica 2, 6230 Postojna",", ŠVENT BEATRIX MARGARET - ZASEBNA ORDINACIJA"
GARMUŠ SONJA - ZASEBNA SPLOŠNA AMBULANTA,GARMUŠ SONJA - ZASEBNA SPLOŠNA AMBULANTA,,"Kolodvorska cesta 24, 6257 Pivka",", GARMUŠ SONJA - ZASEBNA SPLOŠNA AMBULANTA"
ORTOPEDSKA ORDINACIJA DR. KOSOVINC SAŠA,ORTOPEDSKA ORDINACIJA DR. KOSOVINC SAŠA,,"Korytkova ulica 29, 1000 Ljubljana",", ORTOPEDSKA ORDINACIJA DR. KOSOVINC SAŠA"
ANA SLAPŠAK -GORINŠEK - ZASEBNA AMBULANTA ZA SPLOŠNO MEDICINO,ANA SLAPŠAK -GORINŠEK - ZASEBNA AMBULANTA ZA SPLOŠNO MEDICINO,,"Trg svobode 14, 8290 Sevnica",", ANA SLAPŠAK -GORINŠEK - ZASEBNA AMBULANTA ZA SPLOŠNO MEDICINO"
BERŽAN STANISLAVA - FIZIOTERAPEVTKA,BERŽAN STANISLAVA - FIZIOTERAPEVTKA,,"Ulica Pri velikih vratih 9, 6000 Koper - Capodistria",", BERŽAN STANISLAVA - FIZIOTERAPEVTKA"
GOROGRANC TEODOR - ZOBNA ORDINACIJA,GOROGRANC TEODOR - ZOBNA ORDINACIJA,,"Prisojna pot 10, 6000 Koper - Capodistria",", GOROGRANC TEODOR - ZOBNA ORDINACIJA"
KOPAČ-JENKO ANA - FIZIOTERAPEVTKA,KOPAČ-JENKO ANA - FIZIOTERAPEVTKA,,"Beblerjeva ulica 12, 6000 Koper - Capodistria",", KOPAČ-JENKO ANA - FIZIOTERAPEVTKA"
LOGAR-DERNIČ TJAŠA - ZOBNA AMBULANTA,LOGAR-DERNIČ TJAŠA - ZOBNA AMBULANTA,,"Staničev trg 1, 6000 Koper - Capodistria",", LOGAR-DERNIČ TJAŠA - ZOBNA AMBULANTA"
MERLIČ DRAGICA - FIZIOTERAPEVTKA,MERLIČ DRAGICA - FIZIOTERAPEVTKA,,"Ferrarska ulica 10, 6000 Koper - Capodistria",", MERLIČ DRAGICA - FIZIOTERAPEVTKA"
PAHOR BOJANA - FIZIOTERAPEVTKA,PAHOR BOJANA - FIZIOTERAPEVTKA,,"Beblerjeva ulica 12, 6000 Koper - Capodistria",", PAHOR BOJANA - FIZIOTERAPEVTKA"
POLJŠAK BORIS - AMBULANTA SPLOŠNE MEDICINE,POLJŠAK BORIS - AMBULANTA SPLOŠNE MEDICINE,,"Obrtniška ulica 30, 6000 Koper - Capodistria",", POLJŠAK BORIS - AMBULANTA SPLOŠNE MEDICINE"
DAVOR ŠTANFEL dr.dent.med.-zasebna stomatološka ordinacija,DAVOR ŠTANFEL dr.dent.med.-zasebna stomatološka ordinacija,,"Kampel 102, 6000 Koper - Capodistria",", DAVOR ŠTANFEL dr.dent.med.-zasebna stomatološka ordinacija"
TOMC RASTA DR.MED. - ZASEBNA ORDINACIJA SPLOŠNE MEDICINE S KONCESIJO,TOMC RASTA DR.MED. - ZASEBNA ORDINACIJA SPLOŠNE MEDICINE S KONCESIJO,,"Vojkovo nabrežje 23, 6000 Koper - Capodistria",", TOMC RASTA DR.MED. - ZASEBNA ORDINACIJA SPLOŠNE MEDICINE S KONCESIJO"
JERIČ JAKLIČ ALENKA - FIZIOTERAPIJA,JERIČ JAKLIČ ALENKA - FIZIOTERAPIJA,,"Gubčeva ulica 1, 1370 Logatec",", JERIČ JAKLIČ ALENKA - FIZIOTERAPIJA"
"SPECIALISTIČNA PEDIATRIČNA ORDINACIJA DORA JELER, dr. med.","SPECIALISTIČNA PEDIATRIČNA ORDINACIJA DORA JELER, dr. med.",,"Eipprova ulica 3, 1000 Ljubljana",", SPECIALISTIČNA PEDIATRIČNA ORDINACIJA DORA JELER, dr. med."
KRANJEC LEOPOLDINA - ZOBNA ORDINACIJA,KRANJEC LEOPOLDINA - ZOBNA ORDINACIJA,,"Kopitarjev trg 1, 1217 Vodice",", KRANJEC LEOPOLDINA - ZOBNA ORDINACIJA"
URANKAR LUDVIK - FIZIOTERAPIJA,URANKAR LUDVIK - FIZIOTERAPIJA,,"Ulica OF 8, 1433 Radeče",", URANKAR LUDVIK - FIZIOTERAPIJA"
DEBELAK SIMONA - ZOBOZDRAVSTVENA ORDINACIJA,DEBELAK SIMONA - ZOBOZDRAVSTVENA ORDINACIJA,,"Tekstilna ulica 17, 4000 Kranj",", DEBELAK SIMONA - ZOBOZDRAVSTVENA ORDINACIJA"
