Title,First Name,E-mail Address,Business Street,Company
UPRAVNO SODIŠČE REPUBLIKE SLOVENIJE,UPRAVNO SODIŠČE REPUBLIKE SLOVENIJE,Urad.Uprlj@sodisce.si,"Fajfarjeva ulica 33, 1000 Ljubljana",", UPRAVNO SODIŠČE REPUBLIKE SLOVENIJE"
OKRAJNO SODIŠČE V LJUBLJANI,OKRAJNO SODIŠČE V LJUBLJANI,urad.ojlj@sodisce.si,"Miklošičeva cesta 10, 1000 Ljubljana",", OKRAJNO SODIŠČE V LJUBLJANI"
OKROŽNO SODIŠČE V KOPRU,OKROŽNO SODIŠČE V KOPRU,urad.ozkp@sodisce.si,"Ferrarska ulica 9, 6000 Koper - Capodistria",", OKROŽNO SODIŠČE V KOPRU"
DELOVNO SODIŠČE V KOPRU,DELOVNO SODIŠČE V KOPRU,urad.dskp@sodisce.si,"Ferrarska ulica 9, 6000 Koper - Capodistria",", DELOVNO SODIŠČE V KOPRU"
OKROŽNO SODIŠČE V KRANJU,OKROŽNO SODIŠČE V KRANJU,urad.ozkr@sodisce.si,"Zoisova ulica 2, 4000 Kranj",", OKROŽNO SODIŠČE V KRANJU"
OKROŽNO SODIŠČE V LJUBLJANI,OKROŽNO SODIŠČE V LJUBLJANI,urad.ozlj@sodisce.si,"Tavčarjeva ulica 9, 1000 Ljubljana",", OKROŽNO SODIŠČE V LJUBLJANI"
VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,urad.vsrs@sodisce.si,"Tavčarjeva ulica 9, 1000 Ljubljana",", VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE"
OKROŽNO SODIŠČE V MARIBORU,OKROŽNO SODIŠČE V MARIBORU,urad.ozmb@sodisce.si,"Sodna ulica 14, 2000 Maribor",", OKROŽNO SODIŠČE V MARIBORU"
OKROŽNO SODIŠČE V MURSKI SOBOTI,OKROŽNO SODIŠČE V MURSKI SOBOTI,urad.ozms@sodisce.si,"Slomškova ulica 21, 9000 Murska Sobota",", OKROŽNO SODIŠČE V MURSKI SOBOTI"
OKROŽNO SODIŠČE V NOVI GORICI,OKROŽNO SODIŠČE V NOVI GORICI,urad.ozng@sodisce.si,"Kidričeva ulica 14, 5000 Nova Gorica",", OKROŽNO SODIŠČE V NOVI GORICI"
OKROŽNO SODIŠČE V NOVEM MESTU,OKROŽNO SODIŠČE V NOVEM MESTU,urad.oznm@sodisce.si,"Jerebova ulica 2, 8000 Novo mesto",", OKROŽNO SODIŠČE V NOVEM MESTU"
OKROŽNO SODIŠČE V CELJU,OKROŽNO SODIŠČE V CELJU,urad.ozce@sodisce.si,"Prešernova ulica 22, 3000 Celje",", OKROŽNO SODIŠČE V CELJU"
VIŠJE SODIŠČE V LJUBLJANI,VIŠJE SODIŠČE V LJUBLJANI,urad.vislj@sodisce.si,"Tavčarjeva ulica 9, 1000 Ljubljana",", VIŠJE SODIŠČE V LJUBLJANI"
VIŠJE SODIŠČE V KOPRU,VIŠJE SODIŠČE V KOPRU,urad.viskp@sodisce.si,"Ferrarska ulica 9, 6000 Koper - Capodistria",", VIŠJE SODIŠČE V KOPRU"
VIŠJE SODIŠČE V MARIBORU,VIŠJE SODIŠČE V MARIBORU,urad.vismb@sodisce.si,"Sodna ulica 14, 2000 Maribor",", VIŠJE SODIŠČE V MARIBORU"
VIŠJE SODIŠČE V CELJU,VIŠJE SODIŠČE V CELJU,urad.visce@sodisce.si,"Prešernova ulica 22, 3000 Celje",", VIŠJE SODIŠČE V CELJU"
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,urad.dslj@sodisce.si,"Resljeva cesta 14, 1000 Ljubljana",", DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI"
VIŠJE DELOVNO IN SOCIALNO SODIŠČE,VIŠJE DELOVNO IN SOCIALNO SODIŠČE,urad.visds@sodisce.si,,", VIŠJE DELOVNO IN SOCIALNO SODIŠČE"
DELOVNO SODIŠČE V MARIBORU,DELOVNO SODIŠČE V MARIBORU,urad.dsmb@sodisce.si,"Glavni trg 17, 2000 Maribor",", DELOVNO SODIŠČE V MARIBORU"
DELOVNO SODIŠČE CELJE,DELOVNO SODIŠČE CELJE,urad.dsce@sodisce.si,"Gregorčičeva ulica 6, 3000 Celje",", DELOVNO SODIŠČE CELJE"
OKROŽNO SODIŠČE V KRŠKEM,OKROŽNO SODIŠČE V KRŠKEM,urad.ozkk@sodisce.si,"Cesta krških žrtev 12, 8270 Krško",", OKROŽNO SODIŠČE V KRŠKEM"
OKROŽNO SODIŠČE NA PTUJU,OKROŽNO SODIŠČE NA PTUJU,urad.ozpt@sodisce.si,"Krempljeva ulica 7, 2250 Ptuj",", OKROŽNO SODIŠČE NA PTUJU"
OKROŽNO SODIŠČE V SLOVENJ GRADCU,OKROŽNO SODIŠČE V SLOVENJ GRADCU,urad.ozsg@sodisce.si,"Kidričeva ulica 1, 2380 Slovenj Gradec",", OKROŽNO SODIŠČE V SLOVENJ GRADCU"
SODNI SVET REPUBLIKE SLOVENIJE,SODNI SVET REPUBLIKE SLOVENIJE,sodni.svet@sodisce.si,"Trg Osvobodilne fronte 13, 1000 Ljubljana",", SODNI SVET REPUBLIKE SLOVENIJE"
