Title,First Name,E-mail Address,Business Street,Company
REPUBLIKA SLOVENIJA UPRAVNA ENOTA IZOLA,REPUBLIKA SLOVENIJA UPRAVNA ENOTA IZOLA,ue.izola@gov.si,"Cesta v Pregavor 3 A, 6310 Izola - Isola",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA IZOLA"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA JESENICE,REPUBLIKA SLOVENIJA UPRAVNA ENOTA JESENICE,ue.jesenice@gov.si,"Cesta železarjev 6 A, 4270 Jesenice",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA JESENICE"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA KAMNIK,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KAMNIK,ue.kamnik@gov.si,"Glavni trg 24, 1241 Kamnik",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA KAMNIK"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA KOČEVJE,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KOČEVJE,ue.kocevje@gov.si,"Ljubljanska cesta 26, 1330 Kočevje",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA KOČEVJE"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,ue.kranj@gov.si,"Slovenski trg 1, 4000 Kranj",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA LAŠKO,REPUBLIKA SLOVENIJA UPRAVNA ENOTA LAŠKO,ue.lasko@gov.si,"Mestna ulica 2, 3270 Laško",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA LAŠKO"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA LITIJA,REPUBLIKA SLOVENIJA UPRAVNA ENOTA LITIJA,ue.litija@gov.si,"Jerebova ulica 14, 1270 Litija",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA LITIJA"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA LENDAVA,REPUBLIKA SLOVENIJA UPRAVNA ENOTA LENDAVA,ue.lendava@gov.si,"Trg ljudske pravice 5, 9220 Lendava - Lendva",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA LENDAVA"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA KOPER,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KOPER,ue.koper@gov.si,"Trg Brolo 4, 6000 Koper - Capodistria",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA KOPER"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRŠKO,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRŠKO,ue.krsko@gov.si,"Cesta krških žrtev 14, 8270 Krško",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRŠKO"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA LENART,REPUBLIKA SLOVENIJA UPRAVNA ENOTA LENART,ue.lenart@gov.si,"Trg osvoboditve 7, 2230 Lenart v Slov. goricah",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA LENART"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA LJUBLJANA,REPUBLIKA SLOVENIJA UPRAVNA ENOTA LJUBLJANA,ue.ljubljana@gov.si,"Adamič-Lundrovo nabrežje 2, 1000 Ljubljana",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA LJUBLJANA"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA LJUTOMER,REPUBLIKA SLOVENIJA UPRAVNA ENOTA LJUTOMER,ue.ljutomer@gov.si,"Vrazova ulica 1, 9240 Ljutomer",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA LJUTOMER"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA LOGATEC,REPUBLIKA SLOVENIJA UPRAVNA ENOTA LOGATEC,ue.logatec@gov.si,"Tržaška cesta 50 A, 1370 Logatec",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA LOGATEC"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA ČRNOMELJ,REPUBLIKA SLOVENIJA UPRAVNA ENOTA ČRNOMELJ,ue.crnomelj@gov.si,"Zadružna cesta 16, 8340 Črnomelj",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA ČRNOMELJ"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA ILIRSKA BISTRICA,REPUBLIKA SLOVENIJA UPRAVNA ENOTA ILIRSKA BISTRICA,ue.ilirskabistrica@gov.si,"Bazoviška cesta 14, 6250 Ilirska Bistrica",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA ILIRSKA BISTRICA"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA IDRIJA,REPUBLIKA SLOVENIJA UPRAVNA ENOTA IDRIJA,ue.idrija@gov.si,"Študentovska ulica 2, 5280 Idrija",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA IDRIJA"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA HRASTNIK,REPUBLIKA SLOVENIJA UPRAVNA ENOTA HRASTNIK,ue.hrastnik@gov.si,"Pot Vitka Pavliča 5, 1430 Hrastnik",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA HRASTNIK"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA GROSUPLJE,REPUBLIKA SLOVENIJA UPRAVNA ENOTA GROSUPLJE,ue.grosuplje@gov.si,"Taborska cesta 1, 1290 Grosuplje",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA GROSUPLJE"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA GORNJA RADGONA,REPUBLIKA SLOVENIJA UPRAVNA ENOTA GORNJA RADGONA,ue.goradgona@gov.si,"Partizanska cesta 13, 9250 Gornja Radgona",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA GORNJA RADGONA"
REPUBLIKA SLOVENIJA UPRAVNA ENOTA DRAVOGRAD,REPUBLIKA SLOVENIJA UPRAVNA ENOTA DRAVOGRAD,ue.dravograd@gov.si,"Meža 10, 2370 Dravograd",", REPUBLIKA SLOVENIJA UPRAVNA ENOTA DRAVOGRAD"
