Title,First Name,E-mail Address,Business Street,Company
USTANOVA DR.ŠIFTARJEVA FUNDACIJA,USTANOVA DR.ŠIFTARJEVA FUNDACIJA,,"Petanjci 19, 9251 Tišina",", USTANOVA DR.ŠIFTARJEVA FUNDACIJA"
PREŽIHOVA USTANOVA,PREŽIHOVA USTANOVA,,"Gačnikova pot 5, 2390 Ravne na Koroškem",", PREŽIHOVA USTANOVA"
"MEDNARODNA AKADEMIJA, USTANOVA ZA MANAGEMENT IN INFORMACIJSKO TEHNOLOGIJO","MEDNARODNA AKADEMIJA, USTANOVA ZA MANAGEMENT IN INFORMACIJSKO TEHNOLOGIJO",,"Celovška cesta 25, 1000 Ljubljana",", MEDNARODNA AKADEMIJA, USTANOVA ZA MANAGEMENT IN INFORMACIJSKO TEHNOLOGIJO"
ITF USTANOVA ZA KREPITEV ČLOVEKOVE VARNOSTI,ITF USTANOVA ZA KREPITEV ČLOVEKOVE VARNOSTI,,"Zabrv 12, 1292 Ig",", ITF USTANOVA ZA KREPITEV ČLOVEKOVE VARNOSTI"
USTANOVA GRAŠČINA,USTANOVA GRAŠČINA,,"Koblarjeva ulica 34, 1000 Ljubljana",", USTANOVA GRAŠČINA"
"LOKALNI POSPEŠEVALNI CENTER PIVKA, USTANOVA ZA POSPEŠEVANJE RAZVOJA GOSPODARSTVA, KMETIJSTVA IN TURIZMA V OBČINI PIVKA","LOKALNI POSPEŠEVALNI CENTER PIVKA, USTANOVA ZA POSPEŠEVANJE RAZVOJA GOSPODARSTVA, KMETIJSTVA IN TURIZMA V OBČINI PIVKA",,"Kolodvorska cesta 5, 6257 Pivka",", LOKALNI POSPEŠEVALNI CENTER PIVKA, USTANOVA ZA POSPEŠEVANJE RAZVOJA GOSPODARSTVA, KMETIJSTVA IN TURIZMA V OBČINI PIVKA"
"FUNDACIJA DR. BRUNO BRESCHI, USTANOVA ZA OHRANJANJE STAREJŠIH DEL SLOVENSKEGA SLOVSTVA","FUNDACIJA DR. BRUNO BRESCHI, USTANOVA ZA OHRANJANJE STAREJŠIH DEL SLOVENSKEGA SLOVSTVA",,"Novi trg 3, 1000 Ljubljana",", FUNDACIJA DR. BRUNO BRESCHI, USTANOVA ZA OHRANJANJE STAREJŠIH DEL SLOVENSKEGA SLOVSTVA"
USTANOVA - FUNDACIJA ZA RAZVOJ SPLOŠNE BOLNIŠNICE MURSKA SOBOTA,USTANOVA - FUNDACIJA ZA RAZVOJ SPLOŠNE BOLNIŠNICE MURSKA SOBOTA,,"Ulica dr. Vrbnjaka 6, 9000 Murska Sobota",", USTANOVA - FUNDACIJA ZA RAZVOJ SPLOŠNE BOLNIŠNICE MURSKA SOBOTA"
USTANOVA FUNDACIJA JOŽEFA KLEKLA ST.,USTANOVA FUNDACIJA JOŽEFA KLEKLA ST.,,"Ulica Prekmurske čete 20, 9232 Črenšovci",", USTANOVA FUNDACIJA JOŽEFA KLEKLA ST."
"SKLAD DELA SAVINJSKE REGIJE, USTANOVA ZA IZVAJANJE AKTIVNE POLITIKE ZAPOSLOVANJA","SKLAD DELA SAVINJSKE REGIJE, USTANOVA ZA IZVAJANJE AKTIVNE POLITIKE ZAPOSLOVANJA",,"Ulica Savinjske čete 4, 3310 Žalec",", SKLAD DELA SAVINJSKE REGIJE, USTANOVA ZA IZVAJANJE AKTIVNE POLITIKE ZAPOSLOVANJA"
