Title,First Name,E-mail Address,Business Street,Company
URAD VLADE REPUBLIKE SLOVENIJE ZA VAROVANJE TAJNIH PODATKOV,URAD VLADE REPUBLIKE SLOVENIJE ZA VAROVANJE TAJNIH PODATKOV,gp.uvtp@gov.si,"Gregorčičeva ulica 27, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA VAROVANJE TAJNIH PODATKOV"
GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,gp.gs@gov.si,"Gregorčičeva ulica 20, 1000 Ljubljana",", GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE"
URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,urad.slovenci@gov.si,"Erjavčeva cesta 15, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU"
URAD VLADE REPUBLIKE SLOVENIJE ZA NARODNOSTI,URAD VLADE REPUBLIKE SLOVENIJE ZA NARODNOSTI,gp.un@gov.si,"Gregorčičeva ulica 25, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA NARODNOSTI"
SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,gp.svrk@gov.si,"Kotnikova ulica 5, 1000 Ljubljana",", SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO"
VLADA REPUBLIKE SLOVENIJE STATISTIČNI URAD REPUBLIKE SLOVENIJE,VLADA REPUBLIKE SLOVENIJE STATISTIČNI URAD REPUBLIKE SLOVENIJE,gp.surs@gov.si,"Litostrojska cesta 54, 1000 Ljubljana",", VLADA REPUBLIKE SLOVENIJE STATISTIČNI URAD REPUBLIKE SLOVENIJE"
URAD REPUBLIKE SLOVENIJE ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ,URAD REPUBLIKE SLOVENIJE ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ,gp.umar@gov.si,"Gregorčičeva ulica 27, 1000 Ljubljana",", URAD REPUBLIKE SLOVENIJE ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ"
VLADA REPUBLIKE SLOVENIJE PROTOKOL,VLADA REPUBLIKE SLOVENIJE PROTOKOL,gp.protokol@gov.si,"Erjavčeva cesta 17, 1000 Ljubljana",", VLADA REPUBLIKE SLOVENIJE PROTOKOL"
URAD VLADE REPUBLIKE SLOVENIJE ZA KOMUNICIRANJE,URAD VLADE REPUBLIKE SLOVENIJE ZA KOMUNICIRANJE,gp.ukom@gov.si,"Gregorčičeva ulica 25, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA KOMUNICIRANJE"
VLADA REPUBLIKE SLOVENIJE SLUŽBA ZA ZAKONODAJO,VLADA REPUBLIKE SLOVENIJE SLUŽBA ZA ZAKONODAJO,gp.svz@gov.si,"Mestni trg 4, 1000 Ljubljana",", VLADA REPUBLIKE SLOVENIJE SLUŽBA ZA ZAKONODAJO"
KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,gp.kpv@gov.si,"Gregorčičeva ulica 25, 1000 Ljubljana",", KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE"
