Title,First Name,E-mail Address,Business Street,Company
"TURIZEM BLED, zavod za pospeševanje turizma Bled","TURIZEM BLED, zavod za pospeševanje turizma Bled",,"Ljubljanska cesta 27, 4260 Bled",", TURIZEM BLED, zavod za pospeševanje turizma Bled"
"Zavod Karitas za oskrbo, nego in socialo","Zavod Karitas za oskrbo, nego in socialo",,"Žička cesta 15, 3210 Slovenske Konjice",", Zavod Karitas za oskrbo, nego in socialo"
KA-TV Zavod za razvoj kabelsko-satelitskega televizijskega sistema Tolmin,KA-TV Zavod za razvoj kabelsko-satelitskega televizijskega sistema Tolmin,,"Prešernova ulica 4, 5220 Tolmin",", KA-TV Zavod za razvoj kabelsko-satelitskega televizijskega sistema Tolmin"
INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI,INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI,,"Poljanski nasip 2, 1000 Ljubljana",", INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI"
ICK Inštitut za civilizacijo in kulturo Ljubljana,ICK Inštitut za civilizacijo in kulturo Ljubljana,,"Beethovnova ulica 2, 1000 Ljubljana",", ICK Inštitut za civilizacijo in kulturo Ljubljana"
DOM SV.JOŽEF Duhovno prosvetni center,DOM SV.JOŽEF Duhovno prosvetni center,,"Plečnikova ulica 29, 3000 Celje",", DOM SV.JOŽEF Duhovno prosvetni center"
"FAKULTETA ZA UPRAVLJANJE, POSLOVANJE IN INFORMATIKO NOVO MESTO","FAKULTETA ZA UPRAVLJANJE, POSLOVANJE IN INFORMATIKO NOVO MESTO",,"Na Loko 2, 8000 Novo mesto",", FAKULTETA ZA UPRAVLJANJE, POSLOVANJE IN INFORMATIKO NOVO MESTO"
ZAVOD ŠOUM,ZAVOD ŠOUM,,"Gosposvetska cesta 83, 2000 Maribor",", ZAVOD ŠOUM"
SOCIALNO VARSTVENI ZAVOD VITADOM,SOCIALNO VARSTVENI ZAVOD VITADOM,,"Leskoškova cesta 4, 1000 Ljubljana",", SOCIALNO VARSTVENI ZAVOD VITADOM"
MEDICINSKI CENTER GORJANC,MEDICINSKI CENTER GORJANC,,"Trg 32, 2391 Prevalje",", MEDICINSKI CENTER GORJANC"
ZAVOD IRCUO Industrijski razvojni center za usnjarsko in obutveno industrijo,ZAVOD IRCUO Industrijski razvojni center za usnjarsko in obutveno industrijo,,"Strojarska ulica 2, 4226 Žiri",", ZAVOD IRCUO Industrijski razvojni center za usnjarsko in obutveno industrijo"
ZASEBNI ZDRAVSTVENI ZAVOD BOSSMAN PETER,ZASEBNI ZDRAVSTVENI ZAVOD BOSSMAN PETER,,"Vojkovo nabrežje 32, 6000 Koper - Capodistria",", ZASEBNI ZDRAVSTVENI ZAVOD BOSSMAN PETER"
"ŠOLSKE STORITVENE DEJAVNOSTI ""PETKA"" ŽALEC","ŠOLSKE STORITVENE DEJAVNOSTI ""PETKA"" ŽALEC",petka@petka-zavod.si,"Ulica Ivanke Uranjek 2, 3310 Žalec",", ŠOLSKE STORITVENE DEJAVNOSTI ""PETKA"" ŽALEC"
"TALITA KUM zavod za pomoč materam in ostarelim, Postojna","TALITA KUM zavod za pomoč materam in ostarelim, Postojna",,"Ljubljanska cesta 28, 6230 Postojna",", TALITA KUM zavod za pomoč materam in ostarelim, Postojna"
ZASEBNI ZDRAVSTVENI ZAVOD DOJČINOVSKI,ZASEBNI ZDRAVSTVENI ZAVOD DOJČINOVSKI,,"Ljubljanska cesta 6, 6000 Koper - Capodistria",", ZASEBNI ZDRAVSTVENI ZAVOD DOJČINOVSKI"
ZASEBNI ZDRAVSTVENI ZAVOD MARC,ZASEBNI ZDRAVSTVENI ZAVOD MARC,,"Vojkovo nabrežje 32, 6000 Koper - Capodistria",", ZASEBNI ZDRAVSTVENI ZAVOD MARC"
