Title,First Name,E-mail Address,Business Street,Company
"UNIVERZA V LJUBLJANI, AKADEMIJA ZA GLASBO","UNIVERZA V LJUBLJANI, AKADEMIJA ZA GLASBO",dekanat@ag.uni-lj.si,"Stari trg 34, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, AKADEMIJA ZA GLASBO"
"UNIVERZA V LJUBLJANI, AKADEMIJA ZA GLEDALIŠČE, RADIO, FILM IN TELEVIZIJO","UNIVERZA V LJUBLJANI, AKADEMIJA ZA GLEDALIŠČE, RADIO, FILM IN TELEVIZIJO",dekanat@agrft.uni-lj.si,"Nazorjeva ulica 3, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, AKADEMIJA ZA GLEDALIŠČE, RADIO, FILM IN TELEVIZIJO"
"UNIVERZA V LJUBLJANI, AKADEMIJA ZA LIKOVNO UMETNOST IN OBLIKOVANJE","UNIVERZA V LJUBLJANI, AKADEMIJA ZA LIKOVNO UMETNOST IN OBLIKOVANJE",dekanat@aluo.uni-lj.si,"Erjavčeva cesta 23, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, AKADEMIJA ZA LIKOVNO UMETNOST IN OBLIKOVANJE"
"UNIVERZA V LJUBLJANI, BIOTEHNIŠKA FAKULTETA","UNIVERZA V LJUBLJANI, BIOTEHNIŠKA FAKULTETA",info@bf.uni-lj.si,"Jamnikarjeva ulica 101, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, BIOTEHNIŠKA FAKULTETA"
"UNIVERZA V LJUBLJANI, EKONOMSKA FAKULTETA","UNIVERZA V LJUBLJANI, EKONOMSKA FAKULTETA",info@ef.uni-lj.si,"Kardeljeva ploščad 17, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, EKONOMSKA FAKULTETA"
"UNIVERZA V LJUBLJANI, FAKULTETA ZA ARHITEKTURO","UNIVERZA V LJUBLJANI, FAKULTETA ZA ARHITEKTURO",dekanat@fa.uni-lj.si,"Zoisova cesta 12, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, FAKULTETA ZA ARHITEKTURO"
"UNIVERZA V LJUBLJANI, FAKULTETA ZA DRUŽBENE VEDE","UNIVERZA V LJUBLJANI, FAKULTETA ZA DRUŽBENE VEDE",fdv.faculty@fdv.uni-lj.si,"Kardeljeva ploščad 5, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, FAKULTETA ZA DRUŽBENE VEDE"
"UNIVERZA V LJUBLJANI, FAKULTETA ZA ELEKTROTEHNIKO","UNIVERZA V LJUBLJANI, FAKULTETA ZA ELEKTROTEHNIKO",fe-dekanat@fe.uni-lj.si,"Tržaška cesta 25, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, FAKULTETA ZA ELEKTROTEHNIKO"
"UNIVERZA V LJUBLJANI, FAKULTETA ZA FARMACIJO","UNIVERZA V LJUBLJANI, FAKULTETA ZA FARMACIJO",tajnistvo@ffa.uni-lj.si,"Aškerčeva cesta 7, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, FAKULTETA ZA FARMACIJO"
"UNIVERZA V LJUBLJANI, FAKULTETA ZA GRADBENIŠTVO IN GEODEZIJO","UNIVERZA V LJUBLJANI, FAKULTETA ZA GRADBENIŠTVO IN GEODEZIJO",tajnistvo@fgg.uni-lj.si,"Jamova cesta 2, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, FAKULTETA ZA GRADBENIŠTVO IN GEODEZIJO"
