Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
Univerzitetna klinika za pljučne bolezni in alergijo Golnik,Univerzitetna klinika za pljučne bolezni in alergijo Golnik,tajnistvo@klinika-golnik.si,"Golnik 36, 4204 Golnik",", Univerzitetna klinika za pljučne bolezni in alergijo Golnik"
Univerzitetna psihiatrična klinika Ljubljana,Univerzitetna psihiatrična klinika Ljubljana,info@psih-klinika.si,"Studenec 48, 1260 Ljubljana - Polje",", Univerzitetna psihiatrična klinika Ljubljana"
"RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.","RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.",,"Ljubljanska cesta 26, 8000 Novo mesto",", RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o."
JAVNI SKLAD REPUBLIKE SLOVENIJE ZA KULTURNE DEJAVNOSTI,JAVNI SKLAD REPUBLIKE SLOVENIJE ZA KULTURNE DEJAVNOSTI,info@jskd.si,"Štefanova ulica 5, 1000 Ljubljana",", JAVNI SKLAD REPUBLIKE SLOVENIJE ZA KULTURNE DEJAVNOSTI"
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE,kgzs@kgzs.si,"Gospodinjska ulica 6, 1000 Ljubljana",", KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE"
ZAVOD ZA SOCIALNO OSKRBO PRISTAN,ZAVOD ZA SOCIALNO OSKRBO PRISTAN,,"Goriška cesta 27, 5271 Vipava",", ZAVOD ZA SOCIALNO OSKRBO PRISTAN"
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO,kgzs.zavod-nm@gov.si,"Šmihelska cesta 14, 8000 Novo mesto",", KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO"
"UNIVERZA V LJUBLJANI, VETERINARSKA FAKULTETA","UNIVERZA V LJUBLJANI, VETERINARSKA FAKULTETA",dekanat@vf.uni-lj.si,"Gerbičeva ulica 60, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, VETERINARSKA FAKULTETA"
KNJIŽNICA LENART,KNJIŽNICA LENART,marija.sauperl@lenart.sik.si,"Nikova ulica 9, 2230 Lenart v Slov. goricah",", KNJIŽNICA LENART"
Študijski center za narodno spravo,Študijski center za narodno spravo,info@scnr.si,"Tivolska cesta 42, 1000 Ljubljana",", Študijski center za narodno spravo"
MESTNA KNJIŽNICA LJUBLJANA,MESTNA KNJIŽNICA LJUBLJANA,info@mklj.si,"Kersnikova ulica 2, 1000 Ljubljana",", MESTNA KNJIŽNICA LJUBLJANA"
Javno podjetje Prlekija d.o.o.,Javno podjetje Prlekija d.o.o.,,"Babinska cesta 2 A, 9240 Ljutomer",", Javno podjetje Prlekija d.o.o."
"ZAVOD ZA PATRONAŽO IN DOLGOTRAJNO OSKRBO NA DOMU, HRIBERŠEK DANICA, LOVRENC NA POHORJU","ZAVOD ZA PATRONAŽO IN DOLGOTRAJNO OSKRBO NA DOMU, HRIBERŠEK DANICA, LOVRENC NA POHORJU",,"Ob Radoljni 47, 2344 Lovrenc na Pohorju",", ZAVOD ZA PATRONAŽO IN DOLGOTRAJNO OSKRBO NA DOMU, HRIBERŠEK DANICA, LOVRENC NA POHORJU"
GLASBENA ŠOLA SKLADATELJEV IPAVCEV ŠENTJUR,GLASBENA ŠOLA SKLADATELJEV IPAVCEV ŠENTJUR,gs.skladateljev-ipavcev@guest.arnes.si,"Ulica Dušana Kvedra 29, 3230 Šentjur",", GLASBENA ŠOLA SKLADATELJEV IPAVCEV ŠENTJUR"
GLASBENA ŠOLA VRHNIKA,GLASBENA ŠOLA VRHNIKA,gsv@gsv.si,"Trg Karla Grabeljška 3, 1360 Vrhnika",", GLASBENA ŠOLA VRHNIKA"
