Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
ZDRAVSTVENI DOM GROSUPLJE,ZDRAVSTVENI DOM GROSUPLJE,info@zd-grosuplje.si,"Pod gozdom cesta I 14, 1290 Grosuplje",", ZDRAVSTVENI DOM GROSUPLJE"
OSNOVNA ŠOLA BRINJE GROSUPLJE,OSNOVNA ŠOLA BRINJE GROSUPLJE,brinje-grosuplje@guest.arnes.si,"Ljubljanska cesta 40 A, 1290 Grosuplje",", OSNOVNA ŠOLA BRINJE GROSUPLJE"
SKUPNOST SOCIALNIH ZAVODOV SLOVENIJE,SKUPNOST SOCIALNIH ZAVODOV SLOVENIJE,,"Letališka cesta 3 C, 1000 Ljubljana",", SKUPNOST SOCIALNIH ZAVODOV SLOVENIJE"
SKUPNOST CENTROV ZA SOCIALNO DELO SLOVENIJE,SKUPNOST CENTROV ZA SOCIALNO DELO SLOVENIJE,,"Slovenska cesta 55, 1000 Ljubljana",", SKUPNOST CENTROV ZA SOCIALNO DELO SLOVENIJE"
"ZOB d.o.o., družba za zobozdravstvene storitve Vrhnika","ZOB d.o.o., družba za zobozdravstvene storitve Vrhnika",,"Med vrtovi 8, 1360 Vrhnika",", ZOB d.o.o., družba za zobozdravstvene storitve Vrhnika"
ŠTUDENTSKA ORGANIZACIJA SLOVENIJE,ŠTUDENTSKA ORGANIZACIJA SLOVENIJE,,"Dunajska cesta 51, 1000 Ljubljana",", ŠTUDENTSKA ORGANIZACIJA SLOVENIJE"
"BORZEN, operater trga z elektriko, d. o. o.","BORZEN, operater trga z elektriko, d. o. o.",,"Dunajska cesta 156, 1000 Ljubljana",", BORZEN, operater trga z elektriko, d. o. o."
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO,kgzs.zavod-nm@gov.si,"Šmihelska cesta 14, 8000 Novo mesto",", KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO"
"UNIVERZA V LJUBLJANI, BIOTEHNIŠKA FAKULTETA","UNIVERZA V LJUBLJANI, BIOTEHNIŠKA FAKULTETA",info@bf.uni-lj.si,"Jamnikarjeva ulica 101, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, BIOTEHNIŠKA FAKULTETA"
"UNIVERZA V LJUBLJANI, FAKULTETA ZA ELEKTROTEHNIKO","UNIVERZA V LJUBLJANI, FAKULTETA ZA ELEKTROTEHNIKO",fe-dekanat@fe.uni-lj.si,"Tržaška cesta 25, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, FAKULTETA ZA ELEKTROTEHNIKO"
"UNIVERZA V LJUBLJANI, FAKULTETA ZA SOCIALNO DELO","UNIVERZA V LJUBLJANI, FAKULTETA ZA SOCIALNO DELO",info@fsd.uni-lj.si,"Topniška ulica 31, 1000 Ljubljana",", UNIVERZA V LJUBLJANI, FAKULTETA ZA SOCIALNO DELO"
"PINDŽA, javno komunalno in gostinsko podjetje, d.o.o.","PINDŽA, javno komunalno in gostinsko podjetje, d.o.o.",,"Gornji Petrovci 31 D, 9203 Petrovci",", PINDŽA, javno komunalno in gostinsko podjetje, d.o.o."
"D.S.U., družba za svetovanje in upravljanje, d.o.o.","D.S.U., družba za svetovanje in upravljanje, d.o.o.",,"Dunajska cesta 160, 1000 Ljubljana",", D.S.U., družba za svetovanje in upravljanje, d.o.o."
AGENCIJA ZA ENERGIJO,AGENCIJA ZA ENERGIJO,info@agen-rs.si,"Strossmayerjeva ulica 30, 2000 Maribor",", AGENCIJA ZA ENERGIJO"
"SODO sistemski operater distribucijskega omrežja z električno energijo, d.o.o.","SODO sistemski operater distribucijskega omrežja z električno energijo, d.o.o.",,"Minařikova ulica 5, 2000 Maribor",", SODO sistemski operater distribucijskega omrežja z električno energijo, d.o.o."
"MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE","MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE",glavna.pisarna.gssv@mors.si,"Vojkova cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE"
MEDOBČINSKI INŠPEKTORAT KOROŠKE,MEDOBČINSKI INŠPEKTORAT KOROŠKE,medobcinski.inspektorat.koroske@dravograd.si,"Trg 4. julija 7, 2370 Dravograd",", MEDOBČINSKI INŠPEKTORAT KOROŠKE"
BANKA SLOVENIJE,BANKA SLOVENIJE,,"Slovenska cesta 35, 1000 Ljubljana",", BANKA SLOVENIJE"
CENTER ZA SOCIALNO DELO KRANJ,CENTER ZA SOCIALNO DELO KRANJ,gpcsd.kranj@gov.si,"Koroška cesta 19, 4000 Kranj",", CENTER ZA SOCIALNO DELO KRANJ"
CENTER ZA SOCIALNO DELO LJUBLJANA MOSTE-POLJE,CENTER ZA SOCIALNO DELO LJUBLJANA MOSTE-POLJE,gpcsd.ljmos@gov.si,"Zaloška cesta 69, 1000 Ljubljana",", CENTER ZA SOCIALNO DELO LJUBLJANA MOSTE-POLJE"
CENTER ZA SOCIALNO DELO LJUBLJANA ŠIŠKA,CENTER ZA SOCIALNO DELO LJUBLJANA ŠIŠKA,gpcsd.ljsis@gov.si,"Celovška cesta 150, 1000 Ljubljana",", CENTER ZA SOCIALNO DELO LJUBLJANA ŠIŠKA"
CENTER ZA SOCIALNO DELO LJUBLJANA-VIČ-RUDNIK,CENTER ZA SOCIALNO DELO LJUBLJANA-VIČ-RUDNIK,gpcsd.ljvic@gov.si,"Tržaška cesta 40, 1000 Ljubljana",", CENTER ZA SOCIALNO DELO LJUBLJANA-VIČ-RUDNIK"
CENTER ZA SOCIALNO DELO NOVO MESTO,CENTER ZA SOCIALNO DELO NOVO MESTO,gpcsd.novom@gov.si,"Resslova ulica 7 B, 8000 Novo mesto",", CENTER ZA SOCIALNO DELO NOVO MESTO"
CENTER ZA SOCIALNO DELO LJUBLJANA-CENTER,CENTER ZA SOCIALNO DELO LJUBLJANA-CENTER,gpcsd.ljcen@gov.si,"Dalmatinova ulica 2, 1000 Ljubljana",", CENTER ZA SOCIALNO DELO LJUBLJANA-CENTER"
Kemijski inštitut,Kemijski inštitut,glavna.pisarna@ki.si,"Hajdrihova ulica 19, 1000 Ljubljana",", Kemijski inštitut"
