Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"ZASVET veterinarska postaja, d.o.o., Izlake, Izlake 48","ZASVET veterinarska postaja, d.o.o., Izlake, Izlake 48",,"Izlake 48, 1411 Izlake",", ZASVET veterinarska postaja, d.o.o., Izlake, Izlake 48"
KOMUNALA Javno komunalno podjetje d.o.o. Gornji Grad,KOMUNALA Javno komunalno podjetje d.o.o. Gornji Grad,,"Kocbekova cesta 23, 3342 Gornji grad",", KOMUNALA Javno komunalno podjetje d.o.o. Gornji Grad"
GRADBENO PODJETJE IN KAMNOLOM GRASTO d.o.o.,GRADBENO PODJETJE IN KAMNOLOM GRASTO d.o.o.,,"Letališka cesta 33, 1000 Ljubljana",", GRADBENO PODJETJE IN KAMNOLOM GRASTO d.o.o."
"ŠEKLI & KUKOVICA Veterinarska ambulanta, d.o.o.","ŠEKLI & KUKOVICA Veterinarska ambulanta, d.o.o.",,"Gabrovka 17, 1274 Gabrovka",", ŠEKLI & KUKOVICA Veterinarska ambulanta, d.o.o."
PALOMA PIS družba za proizvodnjo in storitve d.o.o.,PALOMA PIS družba za proizvodnjo in storitve d.o.o.,,"Sladki Vrh 1, 2214 Sladki vrh",", PALOMA PIS družba za proizvodnjo in storitve d.o.o."
"NOGRAD - LOTMERK, gradbeno podjetje d.o.o.","NOGRAD - LOTMERK, gradbeno podjetje d.o.o.",,"Ulica Rada Pušenjaka 19, 9240 Ljutomer",", NOGRAD - LOTMERK, gradbeno podjetje d.o.o."
ACADEMIA družba za storitve d.o.o.,ACADEMIA družba za storitve d.o.o.,,"Glavni trg 17 B, 2000 Maribor",", ACADEMIA družba za storitve d.o.o."
"Triglav Svetovanje, zavarovalno zastopanje, d.o.o.","Triglav Svetovanje, zavarovalno zastopanje, d.o.o.",,"Ljubljanska cesta 86, 1230 Domžale",", Triglav Svetovanje, zavarovalno zastopanje, d.o.o."
"ČISTA NARAVA, javno komunalno podjetje d.o.o.","ČISTA NARAVA, javno komunalno podjetje d.o.o.",,"Tešanovci 20, 9226 Moravske Toplice",", ČISTA NARAVA, javno komunalno podjetje d.o.o."
EDUCELL podjetje za celično biologijo d.o.o.,EDUCELL podjetje za celično biologijo d.o.o.,,"Prevale 9, 1236 Trzin",", EDUCELL podjetje za celično biologijo d.o.o."
"ALMAJA proizvodnja, storitve in trgovina d.o.o.","ALMAJA proizvodnja, storitve in trgovina d.o.o.",,"Jurovska cesta 23, 2230 Lenart v Slov. goricah",", ALMAJA proizvodnja, storitve in trgovina d.o.o."
"PS RAJ, proizvodnja, trgovina, storitve, d.o.o.","PS RAJ, proizvodnja, trgovina, storitve, d.o.o.",,"Arclin 21 A, 3211 Škofja vas",", PS RAJ, proizvodnja, trgovina, storitve, d.o.o."
"SANOVET, veterinarska ambulanta, storitve in trgovina, d.o.o., Jesenice","SANOVET, veterinarska ambulanta, storitve in trgovina, d.o.o., Jesenice",,"Murova 1, 4270 Jesenice",", SANOVET, veterinarska ambulanta, storitve in trgovina, d.o.o., Jesenice"
"TERME MARIBOR, turizem, zdravstvo, rekreacija, d.o.o.","TERME MARIBOR, turizem, zdravstvo, rekreacija, d.o.o.",,"Ulica heroja Šlandra 10, 2000 Maribor",", TERME MARIBOR, turizem, zdravstvo, rekreacija, d.o.o."
VETERINARSKA AMBULANTA PERUTNINA PTUJ veterinarstvo d.o.o.,VETERINARSKA AMBULANTA PERUTNINA PTUJ veterinarstvo d.o.o.,,"Potrčeva cesta 6, 2250 Ptuj",", VETERINARSKA AMBULANTA PERUTNINA PTUJ veterinarstvo d.o.o."
AQUASYSTEMS gospodarjenje z vodami d.o.o.,AQUASYSTEMS gospodarjenje z vodami d.o.o.,,"Dupleška cesta 330, 2000 Maribor",", AQUASYSTEMS gospodarjenje z vodami d.o.o."
"RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.","RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.",,"Ljubljanska cesta 26, 8000 Novo mesto",", RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o."
SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,,"Savinjska cesta 2, 3331 Nazarje",", SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o."
"VETERINARSKA AMBULANTA KŽK, d.o.o.","VETERINARSKA AMBULANTA KŽK, d.o.o.",,"Poslovna cona A 53, 4208 Šenčur",", VETERINARSKA AMBULANTA KŽK, d.o.o."
"ADES, zobozdravstvene storitve, d.o.o.","ADES, zobozdravstvene storitve, d.o.o.",,"Tržaška cesta 118, 1000 Ljubljana",", ADES, zobozdravstvene storitve, d.o.o."
VETERINARSKA BOLNICA SLOVENSKA BISTRICA d.o.o.,VETERINARSKA BOLNICA SLOVENSKA BISTRICA d.o.o.,,"Trgovska ulica 1, 2310 Slovenska Bistrica",", VETERINARSKA BOLNICA SLOVENSKA BISTRICA d.o.o."
"ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti","ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti",,"Dečkova cesta 1, 3000 Celje",", ZPO Celje d.o.o., Družba za upravljanje s parkirišči in javnimi objekti"
BELOKRANJSKA VETERINARSKA SLUŽBA ČRNOMELJ d.o.o.,BELOKRANJSKA VETERINARSKA SLUŽBA ČRNOMELJ d.o.o.,,"Ločka cesta 14 A, 8340 Črnomelj",", BELOKRANJSKA VETERINARSKA SLUŽBA ČRNOMELJ d.o.o."
VP DRAVOGRAD veterinarska postaja d.o.o.,VP DRAVOGRAD veterinarska postaja d.o.o.,,"Otiški Vrh 169, 2373 Šentjanž pri Dravogradu",", VP DRAVOGRAD veterinarska postaja d.o.o."
"BUBA veterinarska ambulanta, d.o.o. Grosuplje","BUBA veterinarska ambulanta, d.o.o. Grosuplje",,"Rožna dolina 5, 1290 Grosuplje",", BUBA veterinarska ambulanta, d.o.o. Grosuplje"
VETERINARSKA AMBULANTA d.o.o. KOPER,VETERINARSKA AMBULANTA d.o.o. KOPER,,"Istrska cesta 13, 6000 Koper - Capodistria",", VETERINARSKA AMBULANTA d.o.o. KOPER"
VETERINARSKA AMBULANTA d.o.o. ILIRSKA BISTRICA,VETERINARSKA AMBULANTA d.o.o. ILIRSKA BISTRICA,,"Vilharjeva cesta 6, 6250 Ilirska Bistrica",", VETERINARSKA AMBULANTA d.o.o. ILIRSKA BISTRICA"
"PANVITA, VETERINA d.o.o.","PANVITA, VETERINA d.o.o.",,"Lendavska ulica 5, 9000 Murska Sobota",", PANVITA, VETERINA d.o.o."
VP PREVALJE veterinarska postaja d.o.o.,VP PREVALJE veterinarska postaja d.o.o.,,"Pri postaji 9, 2391 Prevalje",", VP PREVALJE veterinarska postaja d.o.o."
VP RADLJE OB DRAVI veterinarska postaja d.o.o.,VP RADLJE OB DRAVI veterinarska postaja d.o.o.,,"Koroška cesta 49, 2360 Radlje ob Dravi",", VP RADLJE OB DRAVI veterinarska postaja d.o.o."
VP SLOVENJ GRADEC veterinarska postaja d.o.o.,VP SLOVENJ GRADEC veterinarska postaja d.o.o.,,"Celjska cesta 126, 2380 Slovenj Gradec",", VP SLOVENJ GRADEC veterinarska postaja d.o.o."
VETERINA NOVO MESTO d.o.o.,VETERINA NOVO MESTO d.o.o.,,"Šmarješka cesta 2, 8000 Novo mesto",", VETERINA NOVO MESTO d.o.o."
VETERINARSKA POSTAJA TREBNJE d.o.o.,VETERINARSKA POSTAJA TREBNJE d.o.o.,,"Pekel 8, 8210 Trebnje",", VETERINARSKA POSTAJA TREBNJE d.o.o."
"DIAGNOZA veterinarska ambulanta, d.o.o.","DIAGNOZA veterinarska ambulanta, d.o.o.",,"Vodnikova cesta 243, 1000 Ljubljana",", DIAGNOZA veterinarska ambulanta, d.o.o."
"ARISTOTEL, zdravstveni center d.o.o.","ARISTOTEL, zdravstveni center d.o.o.",,"Ulica Ilije Gregoriča 18 A, 8270 Krško",", ARISTOTEL, zdravstveni center d.o.o."
"RAZVOJNA AGENCIJA SINERGIJA d.o.o., pospeševanje razvoja podjetništva ter gospodarskega in duhovnega razvoja podeželja","RAZVOJNA AGENCIJA SINERGIJA d.o.o., pospeševanje razvoja podjetništva ter gospodarskega in duhovnega razvoja podeželja",,"Kranjčeva ulica 3, 9226 Moravske Toplice",", RAZVOJNA AGENCIJA SINERGIJA d.o.o., pospeševanje razvoja podjetništva ter gospodarskega in duhovnega razvoja podeželja"
