Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI INŠPEKTORAT REPUBLIKE SLOVENIJE ZA DELO","MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI INŠPEKTORAT REPUBLIKE SLOVENIJE ZA DELO",irsd@gov.si,"Verovškova ulica 64 A, 1000 Ljubljana",", MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI INŠPEKTORAT REPUBLIKE SLOVENIJE ZA DELO"
UPRAVNO SODIŠČE REPUBLIKE SLOVENIJE,UPRAVNO SODIŠČE REPUBLIKE SLOVENIJE,Urad.Uprlj@sodisce.si,"Fajfarjeva ulica 33, 1000 Ljubljana",", UPRAVNO SODIŠČE REPUBLIKE SLOVENIJE"
MINISTRSTVO ZA ZDRAVJE URAD REPUBLIKE SLOVENIJE ZA KEMIKALIJE,MINISTRSTVO ZA ZDRAVJE URAD REPUBLIKE SLOVENIJE ZA KEMIKALIJE,gp-ursk.mz@gov.si,"Ajdovščina 4, 1000 Ljubljana",", MINISTRSTVO ZA ZDRAVJE URAD REPUBLIKE SLOVENIJE ZA KEMIKALIJE"
DRŽAVNA REVIZIJSKA KOMISIJA ZA REVIZIJO POSTOPKOV ODDDAJE JAVNIH NAROČIL,DRŽAVNA REVIZIJSKA KOMISIJA ZA REVIZIJO POSTOPKOV ODDDAJE JAVNIH NAROČIL,dkom@gov.si,"Slovenska cesta 54, 1000 Ljubljana",", DRŽAVNA REVIZIJSKA KOMISIJA ZA REVIZIJO POSTOPKOV ODDDAJE JAVNIH NAROČIL"
MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA,MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA,gp.policija@policija.si,"Štefanova ulica 2, 1000 Ljubljana",", MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA"
URAD VLADE REPUBLIKE SLOVENIJE ZA VAROVANJE TAJNIH PODATKOV,URAD VLADE REPUBLIKE SLOVENIJE ZA VAROVANJE TAJNIH PODATKOV,gp.uvtp@gov.si,"Gregorčičeva ulica 27, 1000 Ljubljana",", URAD VLADE REPUBLIKE SLOVENIJE ZA VAROVANJE TAJNIH PODATKOV"
MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA,MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA,ujp@ujp.gov.si,"Dunajska cesta 48, 1000 Ljubljana",", MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA"
GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,gp.gs@gov.si,"Gregorčičeva ulica 20, 1000 Ljubljana",", GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE"
MINISTRSTVO ZA ZDRAVJE UPRAVA REPUBLIKE SLOVENIJE ZA VARSTVO PRED SEVANJI,MINISTRSTVO ZA ZDRAVJE UPRAVA REPUBLIKE SLOVENIJE ZA VARSTVO PRED SEVANJI,gp-ursvs.mz@gov.si,"Ajdovščina 4, 1000 Ljubljana",", MINISTRSTVO ZA ZDRAVJE UPRAVA REPUBLIKE SLOVENIJE ZA VARSTVO PRED SEVANJI"
INFORMACIJSKI POOBLAŠČENEC,INFORMACIJSKI POOBLAŠČENEC,gp.ip@ip-rs.si,"Zaloška cesta 59, 1000 Ljubljana",", INFORMACIJSKI POOBLAŠČENEC"
