Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE,LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE,,"Roška cesta 22, 1330 Kočevje",", LOLIČ VERICA - ORDINACIJA SPLOŠNE MEDICINE"
VALENTIČ ZVONIMIR - ZOBOZDRAVNIK,VALENTIČ ZVONIMIR - ZOBOZDRAVNIK,,"Roška cesta 18, 1330 Kočevje",", VALENTIČ ZVONIMIR - ZOBOZDRAVNIK"
KUZMANOVIĆ ČEDOMIR - ZASEBNI ZOBOZDRAVNIK,KUZMANOVIĆ ČEDOMIR - ZASEBNI ZOBOZDRAVNIK,,"Gubčeva cesta 9 A, 8210 Trebnje",", KUZMANOVIĆ ČEDOMIR - ZASEBNI ZOBOZDRAVNIK"
CAR MIRJANA - ZDRAVSTVENA NEGA IN PATRONAŽA NA DOMU,CAR MIRJANA - ZDRAVSTVENA NEGA IN PATRONAŽA NA DOMU,,"Bevkova ulica 2, 8340 Črnomelj",", CAR MIRJANA - ZDRAVSTVENA NEGA IN PATRONAŽA NA DOMU"
TOPLEK NEDA - LEKARNA TOP-LEK,TOPLEK NEDA - LEKARNA TOP-LEK,,"Potrčeva cesta 23, 2250 Ptuj",", TOPLEK NEDA - LEKARNA TOP-LEK"
PROSTOVOLJNO GASILSKO DRUŠTVO KASAZE LIBOJE,PROSTOVOLJNO GASILSKO DRUŠTVO KASAZE LIBOJE,,"Liboje 8 B, 3301 Petrovče",", PROSTOVOLJNO GASILSKO DRUŠTVO KASAZE LIBOJE"
GASILSKA ZVEZA PREBOLD,GASILSKA ZVEZA PREBOLD,,"Hmeljarska cesta 3, 3312 Prebold",", GASILSKA ZVEZA PREBOLD"
VETERINARSKA BOLNICA VIPAVA IVAN PRINCES S.P.,VETERINARSKA BOLNICA VIPAVA IVAN PRINCES S.P.,,"Gradiška cesta 10, 5271 Vipava",", VETERINARSKA BOLNICA VIPAVA IVAN PRINCES S.P."
NIKOLIĆ JANJA - ZOBNA ORDINACIJA ZA ODRASLE IN MLADINO-NIKOLIĆ JANJA,NIKOLIĆ JANJA - ZOBNA ORDINACIJA ZA ODRASLE IN MLADINO-NIKOLIĆ JANJA,,"Bizeljska cesta 49, 8259 Bizeljsko",", NIKOLIĆ JANJA - ZOBNA ORDINACIJA ZA ODRASLE IN MLADINO-NIKOLIĆ JANJA"
"PREVOZ, GRADBENA MEHANIZACIJA IN GRADBENIŠTVO KOSEC MIHA S.P.","PREVOZ, GRADBENA MEHANIZACIJA IN GRADBENIŠTVO KOSEC MIHA S.P.",,"Jalnova ulica 4, 1234 Mengeš",", PREVOZ, GRADBENA MEHANIZACIJA IN GRADBENIŠTVO KOSEC MIHA S.P."
GRADBENA MEHANIZACIJA VILKO KONC S.P.,GRADBENA MEHANIZACIJA VILKO KONC S.P.,,"Visoko 5, 4212 Visoko",", GRADBENA MEHANIZACIJA VILKO KONC S.P."
BRENČIČ JERICA - LEKARNA MURGLE,BRENČIČ JERICA - LEKARNA MURGLE,,"Cesta v Mestni log 55, 1000 Ljubljana",", BRENČIČ JERICA - LEKARNA MURGLE"
PRIVŠEK IZTOK - ZOBOZDRAVSTVO,PRIVŠEK IZTOK - ZOBOZDRAVSTVO,,"Opekarska cesta 11, 1000 Ljubljana",", PRIVŠEK IZTOK - ZOBOZDRAVSTVO"
ZALAR MARIJA - PATRONAŽA,ZALAR MARIJA - PATRONAŽA,,"Kočevska cesta 25, 1291 Škofljica",", ZALAR MARIJA - PATRONAŽA"
"ZOBNA AMBULANTA Tomislav Lajtner, dr.dent.med.","ZOBNA AMBULANTA Tomislav Lajtner, dr.dent.med.",,"Tlaka 10, 3342 Gornji grad",", ZOBNA AMBULANTA Tomislav Lajtner, dr.dent.med."
ZASEBNA ZOBNA ORDINACIJA ANA LENKO DR.DENT.MED.,ZASEBNA ZOBNA ORDINACIJA ANA LENKO DR.DENT.MED.,,"Foršt 55, 3333 Ljubno ob Savinji",", ZASEBNA ZOBNA ORDINACIJA ANA LENKO DR.DENT.MED."
GRMEK MIRJAM - OTROŠKI DISPANZER,GRMEK MIRJAM - OTROŠKI DISPANZER,,"Prečna ulica 2, 6230 Postojna",", GRMEK MIRJAM - OTROŠKI DISPANZER"
GRUJIĆ SPOMENKA - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA OTROK IN MLADINE,GRUJIĆ SPOMENKA - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA OTROK IN MLADINE,,"Prečna ulica 2, 6230 Postojna",", GRUJIĆ SPOMENKA - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA OTROK IN MLADINE"
ZASEBNA ZOBNA AMBULANTA ZA OTROKE IN MLADINO MARTINOVIĆ SLAĐANA dr. dent. med.,ZASEBNA ZOBNA AMBULANTA ZA OTROKE IN MLADINO MARTINOVIĆ SLAĐANA dr. dent. med.,,"Prečna ulica 3, 6257 Pivka",", ZASEBNA ZOBNA AMBULANTA ZA OTROKE IN MLADINO MARTINOVIĆ SLAĐANA dr. dent. med."
GARMUŠ SONJA - ZASEBNA SPLOŠNA AMBULANTA,GARMUŠ SONJA - ZASEBNA SPLOŠNA AMBULANTA,,"Kolodvorska cesta 24, 6257 Pivka",", GARMUŠ SONJA - ZASEBNA SPLOŠNA AMBULANTA"
ANA SLAPŠAK -GORINŠEK - ZASEBNA AMBULANTA ZA SPLOŠNO MEDICINO,ANA SLAPŠAK -GORINŠEK - ZASEBNA AMBULANTA ZA SPLOŠNO MEDICINO,,"Trg svobode 14, 8290 Sevnica",", ANA SLAPŠAK -GORINŠEK - ZASEBNA AMBULANTA ZA SPLOŠNO MEDICINO"
RAČUNOVODSKI SERVIS TATJANA LENKO S.P.,RAČUNOVODSKI SERVIS TATJANA LENKO S.P.,,"Jarmovec 5, 3222 Dramlje",", RAČUNOVODSKI SERVIS TATJANA LENKO S.P."
KASTELIC MARKO DR. VET. MED.S.P. VETERINARSKA AMBULANTA TRBOVLJE,KASTELIC MARKO DR. VET. MED.S.P. VETERINARSKA AMBULANTA TRBOVLJE,,"Gimnazijska cesta 19, 1420 Trbovlje",", KASTELIC MARKO DR. VET. MED.S.P. VETERINARSKA AMBULANTA TRBOVLJE"
"ZASVET veterinarska postaja, d.o.o., Izlake, Izlake 48","ZASVET veterinarska postaja, d.o.o., Izlake, Izlake 48",,"Izlake 48, 1411 Izlake",", ZASVET veterinarska postaja, d.o.o., Izlake, Izlake 48"
"Zavod Karitas za oskrbo, nego in socialo","Zavod Karitas za oskrbo, nego in socialo",,"Žička cesta 15, 3210 Slovenske Konjice",", Zavod Karitas za oskrbo, nego in socialo"
GRADBENO PODJETJE IN KAMNOLOM GRASTO d.o.o.,GRADBENO PODJETJE IN KAMNOLOM GRASTO d.o.o.,,"Letališka cesta 33, 1000 Ljubljana",", GRADBENO PODJETJE IN KAMNOLOM GRASTO d.o.o."
"ŠEKLI & KUKOVICA Veterinarska ambulanta, d.o.o.","ŠEKLI & KUKOVICA Veterinarska ambulanta, d.o.o.",,"Gabrovka 17, 1274 Gabrovka",", ŠEKLI & KUKOVICA Veterinarska ambulanta, d.o.o."
GASILSKA ZVEZA LOŠKI POTOK,GASILSKA ZVEZA LOŠKI POTOK,,"Hrib-Loški Potok 17, 1318 Loški Potok",", GASILSKA ZVEZA LOŠKI POTOK"
RIBIŠKA DRUŽINA BOHINJ,RIBIŠKA DRUŽINA BOHINJ,,"Grajska ulica 10, 4264 Bohinjska Bistrica",", RIBIŠKA DRUŽINA BOHINJ"
Gasilska zveza občine Juršinci,Gasilska zveza občine Juršinci,,"Juršinci 3 B, 2256 Juršinci",", Gasilska zveza občine Juršinci"
Gasilska zveza Občine Dornava,Gasilska zveza Občine Dornava,,"Dornava 136, 2252 Dornava",", Gasilska zveza Občine Dornava"
ŠPORTNA ZVEZA OBČINE GORIŠNICA,ŠPORTNA ZVEZA OBČINE GORIŠNICA,,"Gorišnica 83, 2272 Gorišnica",", ŠPORTNA ZVEZA OBČINE GORIŠNICA"
DRUŠTVO SOŽITJE KAMNIK - DRUŠTVO ZA POMOČ OSEBAM Z MOTNJAMI V DUŠEVNEM RAZVOJU KAMNIK,DRUŠTVO SOŽITJE KAMNIK - DRUŠTVO ZA POMOČ OSEBAM Z MOTNJAMI V DUŠEVNEM RAZVOJU KAMNIK,,"Jenkova ulica 16, 1241 Kamnik",", DRUŠTVO SOŽITJE KAMNIK - DRUŠTVO ZA POMOČ OSEBAM Z MOTNJAMI V DUŠEVNEM RAZVOJU KAMNIK"
LOVSKA DRUŽINA KOZJE STENA,LOVSKA DRUŽINA KOZJE STENA,,"Otlica 39 A, 5270 Ajdovščina",", LOVSKA DRUŽINA KOZJE STENA"
"NOGRAD - LOTMERK, gradbeno podjetje d.o.o.","NOGRAD - LOTMERK, gradbeno podjetje d.o.o.",,"Ulica Rada Pušenjaka 19, 9240 Ljutomer",", NOGRAD - LOTMERK, gradbeno podjetje d.o.o."
ACADEMIA družba za storitve d.o.o.,ACADEMIA družba za storitve d.o.o.,,"Glavni trg 17 B, 2000 Maribor",", ACADEMIA družba za storitve d.o.o."
INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI,INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI,,"Poljanski nasip 2, 1000 Ljubljana",", INŠTITUT ZA PRIMERJALNO PRAVO PRI PRAVNI FAKULTETI V LJUBLJANI"
ICK Inštitut za civilizacijo in kulturo Ljubljana,ICK Inštitut za civilizacijo in kulturo Ljubljana,,"Beethovnova ulica 2, 1000 Ljubljana",", ICK Inštitut za civilizacijo in kulturo Ljubljana"
