Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"JAVNI JAMSTVENI, PREŽIVNINSKI IN INVALIDSKI SKLAD REPUBLIKE SLOVENIJE","JAVNI JAMSTVENI, PREŽIVNINSKI IN INVALIDSKI SKLAD REPUBLIKE SLOVENIJE",jpsklad@jps-rs.si,"Dunajska cesta 21, 1000 Ljubljana",", JAVNI JAMSTVENI, PREŽIVNINSKI IN INVALIDSKI SKLAD REPUBLIKE SLOVENIJE"
JAVNI SKLAD REPUBLIKE SLOVENIJE ZA KULTURNE DEJAVNOSTI,JAVNI SKLAD REPUBLIKE SLOVENIJE ZA KULTURNE DEJAVNOSTI,info@jskd.si,"Štefanova ulica 5, 1000 Ljubljana",", JAVNI SKLAD REPUBLIKE SLOVENIJE ZA KULTURNE DEJAVNOSTI"
JAVNI SKLAD REPUBLIKE SLOVENIJE ZA RAZVOJ KADROV IN ŠTIPENDIJE,JAVNI SKLAD REPUBLIKE SLOVENIJE ZA RAZVOJ KADROV IN ŠTIPENDIJE,info@sklad-kadri.si,"Dunajska cesta 22, 1000 Ljubljana",", JAVNI SKLAD REPUBLIKE SLOVENIJE ZA RAZVOJ KADROV IN ŠTIPENDIJE"
JAVNI STANOVANJSKI SKLAD MESTNE OBČINE LJUBLJANA,JAVNI STANOVANJSKI SKLAD MESTNE OBČINE LJUBLJANA,jss.mol@ljubljana.si,"Zarnikova ulica 3, 1000 Ljubljana",", JAVNI STANOVANJSKI SKLAD MESTNE OBČINE LJUBLJANA"
"SKLAD REPUBLIKE SLOVENIJE ZA NASLEDSTVO, javni sklad","SKLAD REPUBLIKE SLOVENIJE ZA NASLEDSTVO, javni sklad",mf.sklad-nasledstvo@mf-rs.si,"Župančičeva ulica 3, 1000 Ljubljana",", SKLAD REPUBLIKE SLOVENIJE ZA NASLEDSTVO, javni sklad"
JAVNI SKLAD REPUBLIKE SLOVENIJE ZA PODJETNIŠTVO,JAVNI SKLAD REPUBLIKE SLOVENIJE ZA PODJETNIŠTVO,info@podjetniskisklad.si,"Ulica kneza Koclja 22, 2000 Maribor",", JAVNI SKLAD REPUBLIKE SLOVENIJE ZA PODJETNIŠTVO"
"STANOVANJSKI SKLAD REPUBLIKE SLOVENIJE, javni sklad","STANOVANJSKI SKLAD REPUBLIKE SLOVENIJE, javni sklad",ssrsinfo@ssrs.si,"Poljanska cesta 31, 1000 Ljubljana",", STANOVANJSKI SKLAD REPUBLIKE SLOVENIJE, javni sklad"
JAVNI SKLAD MALEGA GOSPODARSTVA GORIŠKE - sklad za finančne vzpodbude razvoja,JAVNI SKLAD MALEGA GOSPODARSTVA GORIŠKE - sklad za finančne vzpodbude razvoja,mestna.obcina@nova-gorica.si,"Trg Edvarda Kardelja 1, 5000 Nova Gorica",", JAVNI SKLAD MALEGA GOSPODARSTVA GORIŠKE - sklad za finančne vzpodbude razvoja"
JAVNI MEDOBČINSKI STANOVANJSKI SKLAD MARIBOR,JAVNI MEDOBČINSKI STANOVANJSKI SKLAD MARIBOR,info@jmssm-mb.si,"Grajski trg 1, 2000 Maribor",", JAVNI MEDOBČINSKI STANOVANJSKI SKLAD MARIBOR"
JAVNI STANOVANJSKI SKLAD MESTNE OBČINE KOPER FONDO ALLOGGI PUBBLICO DEL COMUNE CITTA DI CAPODISTRIA,JAVNI STANOVANJSKI SKLAD MESTNE OBČINE KOPER FONDO ALLOGGI PUBBLICO DEL COMUNE CITTA DI CAPODISTRIA,obcina@koper.si,"Verdijeva ulica 10, 6000 Koper - Capodistria",", JAVNI STANOVANJSKI SKLAD MESTNE OBČINE KOPER FONDO ALLOGGI PUBBLICO DEL COMUNE CITTA DI CAPODISTRIA"
"Eko sklad, Slovenski okoljski javni sklad","Eko sklad, Slovenski okoljski javni sklad",ekosklad@ekosklad.si,"Bleiweisova cesta 30, 1000 Ljubljana",", Eko sklad, Slovenski okoljski javni sklad"
SKLAD ZA FINANCIRANJE RAZGRADNJE NUKLEARNE elektrarne Krško in za odlaganje radioaktivnih odpadkov iz Nuklearne elektrarne Krško,SKLAD ZA FINANCIRANJE RAZGRADNJE NUKLEARNE elektrarne Krško in za odlaganje radioaktivnih odpadkov iz Nuklearne elektrarne Krško,sklad@sklad-nek.si,"Cesta 4. julija 42, 8270 Krško",", SKLAD ZA FINANCIRANJE RAZGRADNJE NUKLEARNE elektrarne Krško in za odlaganje radioaktivnih odpadkov iz Nuklearne elektrarne Krško"
STANOVANJSKI SKLAD MESTNE OBČINE NOVA GORICA javni sklad,STANOVANJSKI SKLAD MESTNE OBČINE NOVA GORICA javni sklad,natasa.leban@nova-gorica.si,"Trg Edvarda Kardelja 1, 5000 Nova Gorica",", STANOVANJSKI SKLAD MESTNE OBČINE NOVA GORICA javni sklad"
JAVNI STANOVANJSKI SKLAD MESTNE OBČINE MURSKA SOBOTA,JAVNI STANOVANJSKI SKLAD MESTNE OBČINE MURSKA SOBOTA,gaby.flisar@murska-sobota.si,"Trg zmage 1, 9000 Murska Sobota",", JAVNI STANOVANJSKI SKLAD MESTNE OBČINE MURSKA SOBOTA"
JAVNI SKLAD REPUBLIKE SLOVENIJE ZA REGIONALNI RAZVOJ IN RAZVOJ PODEŽELJA,JAVNI SKLAD REPUBLIKE SLOVENIJE ZA REGIONALNI RAZVOJ IN RAZVOJ PODEŽELJA,info@regionalnisklad.si,"Škrabčev trg 9 A, 1310 Ribnica",", JAVNI SKLAD REPUBLIKE SLOVENIJE ZA REGIONALNI RAZVOJ IN RAZVOJ PODEŽELJA"
