Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
VODOVOD MURSKA SOBOTA javno podjetje d.o.o.,VODOVOD MURSKA SOBOTA javno podjetje d.o.o.,,"Kopališka ulica 2, 9000 Murska Sobota",", VODOVOD MURSKA SOBOTA javno podjetje d.o.o."
Javno podjetje center za ravnanje z odpadki Puconci d.o.o.,Javno podjetje center za ravnanje z odpadki Puconci d.o.o.,,"Vaneča 81 B, 9201 Puconci",", Javno podjetje center za ravnanje z odpadki Puconci d.o.o."
"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.",,"Ulica heroja Lacka 3, 2250 Ptuj",", Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o."
Javno podjetje Prlekija d.o.o.,Javno podjetje Prlekija d.o.o.,,"Babinska cesta 2 A, 9240 Ljutomer",", Javno podjetje Prlekija d.o.o."
KOMUNALA Komunalno podjetje Nova Gorica d.d.,KOMUNALA Komunalno podjetje Nova Gorica d.d.,,"Cesta 25. junija 1, 5000 Nova Gorica",", KOMUNALA Komunalno podjetje Nova Gorica d.d."
"NIGRAD, komunalno podjetje, d.d.","NIGRAD, komunalno podjetje, d.d.",,"Zagrebška cesta 30, 2000 Maribor",", NIGRAD, komunalno podjetje, d.d."
"KOMUNALA KRANJ, javno podjetje, d.o.o.","KOMUNALA KRANJ, javno podjetje, d.o.o.",,"Ulica Mirka Vadnova 1, 4000 Kranj",", KOMUNALA KRANJ, javno podjetje, d.o.o."
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.",,"Nasipna ulica 64, 2000 Maribor",", SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o."
MARIBORSKI VODOVOD javno podjetje d.d.,MARIBORSKI VODOVOD javno podjetje d.d.,,"Jadranska cesta 24, 2000 Maribor",", MARIBORSKI VODOVOD javno podjetje d.d."
"JAVNO PODJETJE LJUBLJANSKI POTNIŠKI PROMET, d.o.o.","JAVNO PODJETJE LJUBLJANSKI POTNIŠKI PROMET, d.o.o.",,"Celovška cesta 160, 1000 Ljubljana",", JAVNO PODJETJE LJUBLJANSKI POTNIŠKI PROMET, d.o.o."
KOMUNALNO PODJETJE PTUJ D.D.,KOMUNALNO PODJETJE PTUJ D.D.,,"Puhova ulica 10, 2250 Ptuj",", KOMUNALNO PODJETJE PTUJ D.D."
"JKP ŠENTJUR, javno komunalno podjetje, d.o.o.","JKP ŠENTJUR, javno komunalno podjetje, d.o.o.",,"Cesta Leona Dobrotinška 18, 3230 Šentjur",", JKP ŠENTJUR, javno komunalno podjetje, d.o.o."
"ENERGETIKA NAZARJE, proizvodnja in distribucija energij, d.o.o.","ENERGETIKA NAZARJE, proizvodnja in distribucija energij, d.o.o.",,"Lesarska cesta 10, 3331 Nazarje",", ENERGETIKA NAZARJE, proizvodnja in distribucija energij, d.o.o."
"ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana","ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana",,"Dunajska cesta 7, 1000 Ljubljana",", ADRIAPLIN, Podjetje za distribucijo zemeljskega plina d.o.o. Ljubljana"
"SIMBIO, družba za ravnanje z odpadki d.o.o.","SIMBIO, družba za ravnanje z odpadki d.o.o.",,"Teharska cesta 49, 3000 Celje",", SIMBIO, družba za ravnanje z odpadki d.o.o."
