Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,,"Savinjska cesta 2, 3331 Nazarje",", SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o."
JAVNO PODJETJE ZA GOSPODARJENJE S STAVBNIMI ZEMLJIŠČI d.o.o.,JAVNO PODJETJE ZA GOSPODARJENJE S STAVBNIMI ZEMLJIŠČI d.o.o.,,"Grajska ulica 7, 2000 Maribor",", JAVNO PODJETJE ZA GOSPODARJENJE S STAVBNIMI ZEMLJIŠČI d.o.o."
PUNGRAD javno komunalno podjetje d.o.o.,PUNGRAD javno komunalno podjetje d.o.o.,,"Bodonci 127 A, 9265 Bodonci",", PUNGRAD javno komunalno podjetje d.o.o."
INFRASTRUKTURA BLED d.o.o.,INFRASTRUKTURA BLED d.o.o.,,"Rečiška cesta 2, 4260 Bled",", INFRASTRUKTURA BLED d.o.o."
KOMUNALA MEŽICA javno komunalno podjetje d.o.o.,KOMUNALA MEŽICA javno komunalno podjetje d.o.o.,,"Trg svobode 1, 2392 Mežica",", KOMUNALA MEŽICA javno komunalno podjetje d.o.o."
VODOVODI IN KANALIZACIJA NOVA GORICA d.d.,VODOVODI IN KANALIZACIJA NOVA GORICA d.d.,,"Cesta 25. junija 1 B, 5000 Nova Gorica",", VODOVODI IN KANALIZACIJA NOVA GORICA d.d."
"KOMUNA, javno komunalno podjetje Beltinci d.o.o.","KOMUNA, javno komunalno podjetje Beltinci d.o.o.",,"Mladinska ulica 2, 9231 Beltinci",", KOMUNA, javno komunalno podjetje Beltinci d.o.o."
"MESTNE STORITVE, Javno podjetje za urejanje mesta, d.o.o., Nova Gorica","MESTNE STORITVE, Javno podjetje za urejanje mesta, d.o.o., Nova Gorica",,"Trg Edvarda Kardelja 1, 5000 Nova Gorica",", MESTNE STORITVE, Javno podjetje za urejanje mesta, d.o.o., Nova Gorica"
VODOVOD MURSKA SOBOTA javno podjetje d.o.o.,VODOVOD MURSKA SOBOTA javno podjetje d.o.o.,,"Kopališka ulica 2, 9000 Murska Sobota",", VODOVOD MURSKA SOBOTA javno podjetje d.o.o."
"JAVNO PODJETJE EDŠ - Ekološka družba, d.o.o. Šentjernej","JAVNO PODJETJE EDŠ - Ekološka družba, d.o.o. Šentjernej",,"Trubarjeva cesta 5, 8310 Šentjernej",", JAVNO PODJETJE EDŠ - Ekološka družba, d.o.o. Šentjernej"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.",,"Koroška cesta 46, 3320 Velenje",", PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o."
"KONTROLA ZRAČNEGA PROMETA SLOVENIJE, d.o.o.","KONTROLA ZRAČNEGA PROMETA SLOVENIJE, d.o.o.",,"Zgornji Brnik 130 N, 4210 Brnik - Aerodrom",", KONTROLA ZRAČNEGA PROMETA SLOVENIJE, d.o.o."
"EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat","EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat",,"Glavna ulica 109, 9220 Lendava - Lendva",", EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat"
JAVNO KOMUNALNO PODJETJE ŠALOVCI d.o.o.,JAVNO KOMUNALNO PODJETJE ŠALOVCI d.o.o.,,"Šalovci 162, 9204 Šalovci",", JAVNO KOMUNALNO PODJETJE ŠALOVCI d.o.o."
"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.",,"Brdce 41 B, 1431 Dol pri Hrastniku",", CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o."
"JAVNO PODJETJE KOMUNALA VODICE, d.o.o.","JAVNO PODJETJE KOMUNALA VODICE, d.o.o.",,"Kopitarjev trg 1, 1217 Vodice",", JAVNO PODJETJE KOMUNALA VODICE, d.o.o."
"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje",,"Kettejev drevored 3, 8000 Novo mesto",", CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje"
Javno podjetje center za ravnanje z odpadki Puconci d.o.o.,Javno podjetje center za ravnanje z odpadki Puconci d.o.o.,,"Vaneča 81 B, 9201 Puconci",", Javno podjetje center za ravnanje z odpadki Puconci d.o.o."
"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.",,"Ulica heroja Lacka 3, 2250 Ptuj",", Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o."
Javno podjetje Prlekija d.o.o.,Javno podjetje Prlekija d.o.o.,,"Babinska cesta 2 A, 9240 Ljutomer",", Javno podjetje Prlekija d.o.o."
"RASR, Razvojna agencija savinjske regije, d.o.o.","RASR, Razvojna agencija savinjske regije, d.o.o.",,"Ulica XIV. divizije 12, 3000 Celje",", RASR, Razvojna agencija savinjske regije, d.o.o."
VARAŠ družba za komunalne storitve d.o.o.,VARAŠ družba za komunalne storitve d.o.o.,,"Ulica Štefana Kovača 73, 9224 Turnišče",", VARAŠ družba za komunalne storitve d.o.o."
"VZDRŽEVANJE IN GRADNJE KIDRIČEVO, javno podjetje, d.o.o.","VZDRŽEVANJE IN GRADNJE KIDRIČEVO, javno podjetje, d.o.o.",,"Kopališka ulica 14, 2325 Kidričevo",", VZDRŽEVANJE IN GRADNJE KIDRIČEVO, javno podjetje, d.o.o."
"Javno podjetje za mestni potniški promet Marprom, d.o.o.","Javno podjetje za mestni potniški promet Marprom, d.o.o.",,"Mlinska ulica 1, 2000 Maribor",", Javno podjetje za mestni potniški promet Marprom, d.o.o."
"JAVNO PODJETJE KOVOD POSTOJNA, vodovod, kanalizacija, d.o.o., Postojna","JAVNO PODJETJE KOVOD POSTOJNA, vodovod, kanalizacija, d.o.o., Postojna",,"Jeršice 3, 6230 Postojna",", JAVNO PODJETJE KOVOD POSTOJNA, vodovod, kanalizacija, d.o.o., Postojna"
SNAGA Javno podjetje d.o.o.,SNAGA Javno podjetje d.o.o.,,"Povšetova ulica 6, 1000 Ljubljana",", SNAGA Javno podjetje d.o.o."
"ŽALE Javno podjetje, d.o.o.","ŽALE Javno podjetje, d.o.o.",,"Med hmeljniki 2, 1000 Ljubljana",", ŽALE Javno podjetje, d.o.o."
"Javno podjetje Komunalno podjetje Vrhnika, d.o.o.","Javno podjetje Komunalno podjetje Vrhnika, d.o.o.",,"Pot na Tojnice 40, 1360 Vrhnika",", Javno podjetje Komunalno podjetje Vrhnika, d.o.o."
