Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o.,,"Savinjska cesta 2, 3331 Nazarje",", SAVINJSKO-ŠALEŠKA OBMOČNA RAZVOJNA AGENCIJA d.o.o."
CSO ORMOŽ center za starejše občane d.o.o.,CSO ORMOŽ center za starejše občane d.o.o.,,"Ulica dr. Hrovata 10 A, 2270 Ormož",", CSO ORMOŽ center za starejše občane d.o.o."
"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.",,"Brdce 41 B, 1431 Dol pri Hrastniku",", CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o."
"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje",,"Kettejev drevored 3, 8000 Novo mesto",", CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje"
"RASR, Razvojna agencija savinjske regije, d.o.o.","RASR, Razvojna agencija savinjske regije, d.o.o.",,"Ulica XIV. divizije 12, 3000 Celje",", RASR, Razvojna agencija savinjske regije, d.o.o."
"JAVNO PODJETJE KOVOD POSTOJNA, vodovod, kanalizacija, d.o.o., Postojna","JAVNO PODJETJE KOVOD POSTOJNA, vodovod, kanalizacija, d.o.o., Postojna",,"Jeršice 3, 6230 Postojna",", JAVNO PODJETJE KOVOD POSTOJNA, vodovod, kanalizacija, d.o.o., Postojna"
SNAGA Javno podjetje d.o.o.,SNAGA Javno podjetje d.o.o.,,"Povšetova ulica 6, 1000 Ljubljana",", SNAGA Javno podjetje d.o.o."
JAVNO PODJETJE VODOVOD-KANALIZACIJA d.o.o.,JAVNO PODJETJE VODOVOD-KANALIZACIJA d.o.o.,,"Vodovodna cesta 90, 1000 Ljubljana",", JAVNO PODJETJE VODOVOD-KANALIZACIJA d.o.o."
JAVNO PODJETJE KOMUNALA ČRNOMELJ d.o.o.,JAVNO PODJETJE KOMUNALA ČRNOMELJ d.o.o.,,"Belokranjska cesta 24 A, 8340 Črnomelj",", JAVNO PODJETJE KOMUNALA ČRNOMELJ d.o.o."
"KOMUNALA KRANJ, javno podjetje, d.o.o.","KOMUNALA KRANJ, javno podjetje, d.o.o.",,"Ulica Mirka Vadnova 1, 4000 Kranj",", KOMUNALA KRANJ, javno podjetje, d.o.o."
JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l.,JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l.,,"Ulica 15.maja 13, 6000 Koper - Capodistria",", JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l."
JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.,JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.,,"Tesarska ulica 10, 1330 Kočevje",", JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o."
MARIBORSKI VODOVOD javno podjetje d.d.,MARIBORSKI VODOVOD javno podjetje d.d.,,"Jadranska cesta 24, 2000 Maribor",", MARIBORSKI VODOVOD javno podjetje d.d."
"HYDROVOD d.o.o., družba za komunalno dejavnost","HYDROVOD d.o.o., družba za komunalno dejavnost",,"Ljubljanska cesta 38, 1330 Kočevje",", HYDROVOD d.o.o., družba za komunalno dejavnost"
"Javno podjetje OKOLJE Piran, d.o.o.","Javno podjetje OKOLJE Piran, d.o.o.",,"Arze 1 B, 6330 Piran - Pirano",", Javno podjetje OKOLJE Piran, d.o.o."
"JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.","JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.",,"Ponoviška cesta 15, 1270 Litija",", JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o."
JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.,JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.,,"Cesta na Krko 7, 1290 Grosuplje",", JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o."
"JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje","JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje",,"Praprotnikova ulica 36, 3330 Mozirje",", JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje"
JAVNO PODJETJE ENERGETIKA LJUBLJANA d.o.o.,JAVNO PODJETJE ENERGETIKA LJUBLJANA d.o.o.,,"Verovškova ulica 62, 1000 Ljubljana",", JAVNO PODJETJE ENERGETIKA LJUBLJANA d.o.o."
"ELES, d.o.o., sistemski operater prenosnega elektroenergetskega omrežja","ELES, d.o.o., sistemski operater prenosnega elektroenergetskega omrežja",,"Hajdrihova ulica 2, 1000 Ljubljana",", ELES, d.o.o., sistemski operater prenosnega elektroenergetskega omrežja"
"JKP ŠENTJUR, javno komunalno podjetje, d.o.o.","JKP ŠENTJUR, javno komunalno podjetje, d.o.o.",,"Cesta Leona Dobrotinška 18, 3230 Šentjur",", JKP ŠENTJUR, javno komunalno podjetje, d.o.o."
