Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
MESTNA OBČINA MARIBOR MESTNA ČETRT MAGDALENA,MESTNA OBČINA MARIBOR MESTNA ČETRT MAGDALENA,mc.magdalena@maribor.si,"Preradovičeva ulica 1, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT MAGDALENA"
MESTNA OBČINA MARIBOR MESTNA ČETRT IVAN CANKAR,MESTNA OBČINA MARIBOR MESTNA ČETRT IVAN CANKAR,mc.icankar@maribor.si,"Partizanska cesta 1, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT IVAN CANKAR"
MESTNA OBČINA MARIBOR MESTNA ČETRT TABOR,MESTNA OBČINA MARIBOR MESTNA ČETRT TABOR,mc.tabor@maribor.si,"Metelkova ulica 63, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT TABOR"
MESTNA OBČINA MARIBOR MESTNA ČETRT STUDENCI,MESTNA OBČINA MARIBOR MESTNA ČETRT STUDENCI,mc.studenci@maribor.si,"Šarhova ulica 53 A, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT STUDENCI"
MESTNA OBČINA MARIBOR MESTNA ČETRT NOVA VAS,MESTNA OBČINA MARIBOR MESTNA ČETRT NOVA VAS,mc.novavas@maribor.si,"Radvanjska cesta 65, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT NOVA VAS"
MESTNA OBČINA MARIBOR MESTNA ČETRT TEZNO,MESTNA OBČINA MARIBOR MESTNA ČETRT TEZNO,mc.tezno@maribor.si,"Panonska ulica 12, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT TEZNO"
MESTNA OBČINA MARIBOR MESTNA ČETRT CENTER,MESTNA OBČINA MARIBOR MESTNA ČETRT CENTER,mc.center@maribor.si,,", MESTNA OBČINA MARIBOR MESTNA ČETRT CENTER"
MESTNA OBČINA MARIBOR MESTNA ČETRT POBREŽJE,MESTNA OBČINA MARIBOR MESTNA ČETRT POBREŽJE,mc.pobrezje@maribor.si,"Kosovelova ulica 11, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT POBREŽJE"
MESTNA OBČINA MARIBOR MESTNA ČETRT KOROŠKA VRATA,MESTNA OBČINA MARIBOR MESTNA ČETRT KOROŠKA VRATA,koroska.vrata@maribor.si,"Vrbanska cesta 10, 2000 Maribor",", MESTNA OBČINA MARIBOR MESTNA ČETRT KOROŠKA VRATA"
KRAJEVNA SKUPNOST SVETI ANTON NA POHORJU,KRAJEVNA SKUPNOST SVETI ANTON NA POHORJU,obcina.radlje@radlje.si,"Sv. Anton na Pohorju 59, 2365 Vuhred",", KRAJEVNA SKUPNOST SVETI ANTON NA POHORJU"
