Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
OBČINA CERKVENJAK,OBČINA CERKVENJAK,obcina@cerkvenjak.si,"Cerkvenjak 25, 2236 Cerkvenjak",", OBČINA CERKVENJAK"
OBČINA SVETA ANA,OBČINA SVETA ANA,obcina@sv-ana.si,"Sv. Ana v Slov. goricah 17, 2233 Sv. Ana v Slov. goricah",", OBČINA SVETA ANA"
OBČINA VELIKA POLANA,OBČINA VELIKA POLANA,obcina@velika-polana.si,"Velika Polana 111, 9225 Velika Polana",", OBČINA VELIKA POLANA"
OBČINA JEZERSKO,OBČINA JEZERSKO,obcina@jezersko.si,"Zgornje Jezersko 65, 4206 Zgornje Jezersko",", OBČINA JEZERSKO"
OBČINA BENEDIKT,OBČINA BENEDIKT,obcina@benedikt.si,"Čolnikov trg 5, 2234 Benedikt",", OBČINA BENEDIKT"
OBČINA KRIŽEVCI,OBČINA KRIŽEVCI,info@obcinakrizevci.com,"Križevci pri Ljutomeru 11, 9242 Križevci pri Ljutomeru",", OBČINA KRIŽEVCI"
OBČINA KOMENDA,OBČINA KOMENDA,obcina.komenda@siol.net,"Zajčeva cesta 23, 1218 Komenda",", OBČINA KOMENDA"
OBČINA RAZKRIŽJE,OBČINA RAZKRIŽJE,obcinarazkrizje@siol.net,"Šafarsko 42, 9246 Razkrižje",", OBČINA RAZKRIŽJE"
OBČINA VERŽEJ,OBČINA VERŽEJ,obcina.verzej@siol.net,"Ulica bratstva in enotnosti 8, 9241 Veržej",", OBČINA VERŽEJ"
OBČINA HORJUL,OBČINA HORJUL,obcina@horjul.si,"Občinski trg 1, 1354 Horjul",", OBČINA HORJUL"
OBČINA DOBROVNIK DOBRONAK KOZSEG,OBČINA DOBROVNIK DOBRONAK KOZSEG,obcina@dobrovnik.si,"Dobrovnik 297, 9223 Dobrovnik - Dobronak",", OBČINA DOBROVNIK DOBRONAK KOZSEG"
OBČINA ŽIROVNICA,OBČINA ŽIROVNICA,obcina@zirovnica.si,"Breznica 3, 4274 Žirovnica",", OBČINA ŽIROVNICA"
OBČINA KOSTEL,OBČINA KOSTEL,obcina@kostel.si,"Vas 4, 1336 Kostel",", OBČINA KOSTEL"
