Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"LOZAR ALEKSANDER S.P. - INŽENIRING, KLJUČAVNIČARSTO","LOZAR ALEKSANDER S.P. - INŽENIRING, KLJUČAVNIČARSTO",,"Bilje 124 F, 5292 Renče",", LOZAR ALEKSANDER S.P. - INŽENIRING, KLJUČAVNIČARSTO"
RIBIŠKA DRUŽINA BOHINJ,RIBIŠKA DRUŽINA BOHINJ,,"Grajska ulica 10, 4264 Bohinjska Bistrica",", RIBIŠKA DRUŽINA BOHINJ"
JAMARSKI KLUB TIRSKI ZMAJ,JAMARSKI KLUB TIRSKI ZMAJ,,"Ter 66, 3333 Ljubno ob Savinji",", JAMARSKI KLUB TIRSKI ZMAJ"
LOVSKA DRUŽINA KOZJE STENA,LOVSKA DRUŽINA KOZJE STENA,,"Otlica 39 A, 5270 Ajdovščina",", LOVSKA DRUŽINA KOZJE STENA"
ACADEMIA družba za storitve d.o.o.,ACADEMIA družba za storitve d.o.o.,,"Glavni trg 17 B, 2000 Maribor",", ACADEMIA družba za storitve d.o.o."
LOVSKA DRUŽINA ŠKOFLJICA,LOVSKA DRUŽINA ŠKOFLJICA,,"Šmarska cesta 3, 1291 Škofljica",", LOVSKA DRUŽINA ŠKOFLJICA"
"RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.","RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o.",,"Ljubljanska cesta 26, 8000 Novo mesto",", RAZVOJNI CENTER NOVO MESTO, Svetovanje in razvoj, d.o.o."
VETERINARSKA ZBORNICA SLOVENIJE,VETERINARSKA ZBORNICA SLOVENIJE,,"Cesta 24. junija 25, 1231 Ljubljana - Črnuče",", VETERINARSKA ZBORNICA SLOVENIJE"
Lovska družina Sveta Marjeta niže Ptuja,Lovska družina Sveta Marjeta niže Ptuja,,"Placerovci 26, 2272 Gorišnica",", Lovska družina Sveta Marjeta niže Ptuja"
LOVSKA DRUŽINA MURSKA SOBOTA,LOVSKA DRUŽINA MURSKA SOBOTA,,"Lendavska ulica 28, 9000 Murska Sobota",", LOVSKA DRUŽINA MURSKA SOBOTA"
LOVSKA DRUŽINA BAKOVCI-LIPOVCI,LOVSKA DRUŽINA BAKOVCI-LIPOVCI,,"Gramozna ulica 20, 9231 Beltinci",", LOVSKA DRUŽINA BAKOVCI-LIPOVCI"
"NEPREMIČNINE CELJE, upravljanje, gospodarjenje in trgovanje z nepremičninami d.o.o.","NEPREMIČNINE CELJE, upravljanje, gospodarjenje in trgovanje z nepremičninami d.o.o.",,"Miklošičeva ulica 1, 3000 Celje",", NEPREMIČNINE CELJE, upravljanje, gospodarjenje in trgovanje z nepremičninami d.o.o."
ZBORNICA IZVRŠITELJEV SLOVENIJE,ZBORNICA IZVRŠITELJEV SLOVENIJE,,"Stegne 21, 1000 Ljubljana",", ZBORNICA IZVRŠITELJEV SLOVENIJE"
ZAVOD ZDRUŽENJE TOLMAČEV ZA SLOVENSKI ZNAKOVNI JEZIK,ZAVOD ZDRUŽENJE TOLMAČEV ZA SLOVENSKI ZNAKOVNI JEZIK,,"Prekmurska ulica 6, 1000 Ljubljana",", ZAVOD ZDRUŽENJE TOLMAČEV ZA SLOVENSKI ZNAKOVNI JEZIK"
RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o.,RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o.,,"Meža 10, 2370 Dravograd",", RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o."
"IZOBRAŽEVALNO RAZVOJNI ZAVOD IZRAZ, LJUBLJANA","IZOBRAŽEVALNO RAZVOJNI ZAVOD IZRAZ, LJUBLJANA",,"Poklukarjeva ulica 70, 1000 Ljubljana",", IZOBRAŽEVALNO RAZVOJNI ZAVOD IZRAZ, LJUBLJANA"
