Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"ZVEZA SLOVENSKIH GLASBENIH ŠOL, SKUPNOST ZAVODOV, LJUBLJANA","ZVEZA SLOVENSKIH GLASBENIH ŠOL, SKUPNOST ZAVODOV, LJUBLJANA",,"Jenkova cesta 4, 3320 Velenje",", ZVEZA SLOVENSKIH GLASBENIH ŠOL, SKUPNOST ZAVODOV, LJUBLJANA"
SKUPNOST VRTCEV REPUBLIKE SLOVENIJE,SKUPNOST VRTCEV REPUBLIKE SLOVENIJE,,"Rašiška ulica 7, 1000 Ljubljana",", SKUPNOST VRTCEV REPUBLIKE SLOVENIJE"
SKUPNOST SOCIALNIH ZAVODOV SLOVENIJE,SKUPNOST SOCIALNIH ZAVODOV SLOVENIJE,,"Letališka cesta 3 C, 1000 Ljubljana",", SKUPNOST SOCIALNIH ZAVODOV SLOVENIJE"
SKUPNOST CENTROV ZA SOCIALNO DELO SLOVENIJE,SKUPNOST CENTROV ZA SOCIALNO DELO SLOVENIJE,,"Slovenska cesta 55, 1000 Ljubljana",", SKUPNOST CENTROV ZA SOCIALNO DELO SLOVENIJE"
ZVEZA PRIMORSKIH GLASBENIH ŠOL,ZVEZA PRIMORSKIH GLASBENIH ŠOL,,"Ljubljanska cesta 10, 6230 Postojna",", ZVEZA PRIMORSKIH GLASBENIH ŠOL"
SKUPNOST VARSTVENO DELOVNIH CENTROV SLOVENIJE,SKUPNOST VARSTVENO DELOVNIH CENTROV SLOVENIJE,,"Vodnikova cesta 56, 1000 Ljubljana",", SKUPNOST VARSTVENO DELOVNIH CENTROV SLOVENIJE"
SKUPNOST ORGANIZACIJ ZA USPOSABLJANJE OSEB S POSEBNIMI POTREBAMI V REPUBLIKI SLOVENIJI,SKUPNOST ORGANIZACIJ ZA USPOSABLJANJE OSEB S POSEBNIMI POTREBAMI V REPUBLIKI SLOVENIJI,,"Linhartova cesta 51, 1000 Ljubljana",", SKUPNOST ORGANIZACIJ ZA USPOSABLJANJE OSEB S POSEBNIMI POTREBAMI V REPUBLIKI SLOVENIJI"
ZVEZA SREDNJIH ŠOL IN DIJAŠKIH DOMOV SLOVENIJE,ZVEZA SREDNJIH ŠOL IN DIJAŠKIH DOMOV SLOVENIJE,,"Ptujska ulica 6, 1000 Ljubljana",", ZVEZA SREDNJIH ŠOL IN DIJAŠKIH DOMOV SLOVENIJE"
ZDRUŽENJE ŠPORTNIH CENTROV SLOVENIJE,ZDRUŽENJE ŠPORTNIH CENTROV SLOVENIJE,,"Slovenski trg 5, 4000 Kranj",", ZDRUŽENJE ŠPORTNIH CENTROV SLOVENIJE"
SKUPNOST VIŠJIH STROKOVNIH ŠOL REPUBLIKE SLOVENIJE,SKUPNOST VIŠJIH STROKOVNIH ŠOL REPUBLIKE SLOVENIJE,,"Pot na Lavo 22, 3000 Celje",", SKUPNOST VIŠJIH STROKOVNIH ŠOL REPUBLIKE SLOVENIJE"
MEDNARODNO ZDRUŽENJE UPRAVLJAVCEV INFRASTRUKTURE ZA ŠPORT IN PROSTI ČAS,MEDNARODNO ZDRUŽENJE UPRAVLJAVCEV INFRASTRUKTURE ZA ŠPORT IN PROSTI ČAS,,"Slovenski trg 5, 4000 Kranj",", MEDNARODNO ZDRUŽENJE UPRAVLJAVCEV INFRASTRUKTURE ZA ŠPORT IN PROSTI ČAS"
Skupnost gasilsko reševalnih zavodov Slovenije,Skupnost gasilsko reševalnih zavodov Slovenije,,"Vojkova cesta 19, 1000 Ljubljana",", Skupnost gasilsko reševalnih zavodov Slovenije"
ZDRUŽENJE ZDRAVSTVENIH ZAVODOV SLOVENIJE,ZDRUŽENJE ZDRAVSTVENIH ZAVODOV SLOVENIJE,,"Riharjeva ulica 38, 1000 Ljubljana",", ZDRUŽENJE ZDRAVSTVENIH ZAVODOV SLOVENIJE"
SKUPNOST ZAVODOV OSNOVNEGA ZDRAVSTVA KOROŠKE,SKUPNOST ZAVODOV OSNOVNEGA ZDRAVSTVA KOROŠKE,,"Ob Suhi 11, 2390 Ravne na Koroškem",", SKUPNOST ZAVODOV OSNOVNEGA ZDRAVSTVA KOROŠKE"
ZVEZA LJUDSKIH UNIVERZ SLOVENIJE,ZVEZA LJUDSKIH UNIVERZ SLOVENIJE,,"Vojkova cesta 1, 1000 Ljubljana",", ZVEZA LJUDSKIH UNIVERZ SLOVENIJE"
POSLOVNA SKUPNOST OSNOVNIH ŠOL MARIBOR,POSLOVNA SKUPNOST OSNOVNIH ŠOL MARIBOR,,"Lackova cesta 4, 2000 Maribor",", POSLOVNA SKUPNOST OSNOVNIH ŠOL MARIBOR"
SKUPNOST MUZEJEV SLOVENIJE,SKUPNOST MUZEJEV SLOVENIJE,,"Prešernova cesta 20, 1000 Ljubljana",", SKUPNOST MUZEJEV SLOVENIJE"
SKUPNOST VRTCEV MARIBOR,SKUPNOST VRTCEV MARIBOR,,"Groharjeva ulica 22, 2000 Maribor",", SKUPNOST VRTCEV MARIBOR"
SKUPNOST ZAVODOV OSNOVNE ZDRAVSTVENE DEJAVNOSTI CELJSKE REGIJE,SKUPNOST ZAVODOV OSNOVNE ZDRAVSTVENE DEJAVNOSTI CELJSKE REGIJE,,"Gregorčičeva ulica 3, 3000 Celje",", SKUPNOST ZAVODOV OSNOVNE ZDRAVSTVENE DEJAVNOSTI CELJSKE REGIJE"
