Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
SPECIALIZIRANO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,SPECIALIZIRANO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,specializirano.tozilstvo@dt-rs.si,"Trg Osvobodilne fronte 13, 1000 Ljubljana",", SPECIALIZIRANO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE"
DRŽAVNOTOŽILSKI SVET,DRŽAVNOTOŽILSKI SVET,dtrs@dt-rs.si,"Trg Osvobodilne fronte 13, 1000 Ljubljana",", DRŽAVNOTOŽILSKI SVET"
OKROŽNO DRŽAVNO TOŽILSTVO V KOPRU,OKROŽNO DRŽAVNO TOŽILSTVO V KOPRU,odtkp@dt-rs.si,"Ferrarska ulica 5 A, 6000 Koper - Capodistria",", OKROŽNO DRŽAVNO TOŽILSTVO V KOPRU"
OKROŽNO DRŽAVNO TOŽILSTVO V LJUBLJANI,OKROŽNO DRŽAVNO TOŽILSTVO V LJUBLJANI,odtlj@dt-rs.si,"Slovenska cesta 41, 1000 Ljubljana",", OKROŽNO DRŽAVNO TOŽILSTVO V LJUBLJANI"
VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,dtrs@dt-rs.si,"Trg Osvobodilne fronte 13, 1000 Ljubljana",", VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE"
OKROŽNO DRŽAVNO TOŽILSTVO V MARIBORU,OKROŽNO DRŽAVNO TOŽILSTVO V MARIBORU,odtmb@dt-rs.si,"Ulica talcev 24, 2000 Maribor",", OKROŽNO DRŽAVNO TOŽILSTVO V MARIBORU"
OKROŽNO DRŽAVNO TOŽILSTVO V MURSKI SOBOTI,OKROŽNO DRŽAVNO TOŽILSTVO V MURSKI SOBOTI,odtms@dt-rs.si,"Slomškova ulica 1, 9000 Murska Sobota",", OKROŽNO DRŽAVNO TOŽILSTVO V MURSKI SOBOTI"
OKROŽNO DRŽAVNO TOŽILSTVO V NOVI GORICI,OKROŽNO DRŽAVNO TOŽILSTVO V NOVI GORICI,odtgo@dt-rs.si,"Prvomajska ulica 50, 5000 Nova Gorica",", OKROŽNO DRŽAVNO TOŽILSTVO V NOVI GORICI"
OKROŽNO DRŽAVNO TOŽILSTVO NOVO MESTO,OKROŽNO DRŽAVNO TOŽILSTVO NOVO MESTO,odtnm@dt-rs.si,"Vrhovčeva ulica 18, 8000 Novo mesto",", OKROŽNO DRŽAVNO TOŽILSTVO NOVO MESTO"
OKROŽNO DRŽAVNO TOŽILSTVO V CELJU,OKROŽNO DRŽAVNO TOŽILSTVO V CELJU,odtce@dt-rs.si,"Ljubljanska cesta 5, 3000 Celje",", OKROŽNO DRŽAVNO TOŽILSTVO V CELJU"
OKROŽNO DRŽAVNO TOŽILSTVO V KRANJU,OKROŽNO DRŽAVNO TOŽILSTVO V KRANJU,odtkr@dt-rs.si,"Nazorjeva ulica 1, 4000 Kranj",", OKROŽNO DRŽAVNO TOŽILSTVO V KRANJU"
OKROŽNO DRŽAVNO TOŽILSTVO NA PTUJU,OKROŽNO DRŽAVNO TOŽILSTVO NA PTUJU,odtpt@dt-rs.si,"Vodnikova ulica 2, 2250 Ptuj",", OKROŽNO DRŽAVNO TOŽILSTVO NA PTUJU"
OKROŽNO DRŽAVNO TOŽILSTVO V SLOVENJ GRADCU,OKROŽNO DRŽAVNO TOŽILSTVO V SLOVENJ GRADCU,odtsg@dt-rs.si,"Poštna ulica 1, 2380 Slovenj Gradec",", OKROŽNO DRŽAVNO TOŽILSTVO V SLOVENJ GRADCU"
OKROŽNO DRŽAVNO TOŽILSTVO V KRŠKEM,OKROŽNO DRŽAVNO TOŽILSTVO V KRŠKEM,odtkk@dt-rs.si,"Cesta krških žrtev 15 A, 8270 Krško",", OKROŽNO DRŽAVNO TOŽILSTVO V KRŠKEM"
