Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI INŠPEKTORAT REPUBLIKE SLOVENIJE ZA DELO","MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI INŠPEKTORAT REPUBLIKE SLOVENIJE ZA DELO",irsd@gov.si,"Verovškova ulica 64 A, 1000 Ljubljana",", MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI INŠPEKTORAT REPUBLIKE SLOVENIJE ZA DELO"
MINISTRSTVO ZA ZDRAVJE URAD REPUBLIKE SLOVENIJE ZA KEMIKALIJE,MINISTRSTVO ZA ZDRAVJE URAD REPUBLIKE SLOVENIJE ZA KEMIKALIJE,gp-ursk.mz@gov.si,"Ajdovščina 4, 1000 Ljubljana",", MINISTRSTVO ZA ZDRAVJE URAD REPUBLIKE SLOVENIJE ZA KEMIKALIJE"
MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA,MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA,gp.policija@policija.si,"Štefanova ulica 2, 1000 Ljubljana",", MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA"
MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA,MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA,ujp@ujp.gov.si,"Dunajska cesta 48, 1000 Ljubljana",", MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA"
MINISTRSTVO ZA ZDRAVJE UPRAVA REPUBLIKE SLOVENIJE ZA VARSTVO PRED SEVANJI,MINISTRSTVO ZA ZDRAVJE UPRAVA REPUBLIKE SLOVENIJE ZA VARSTVO PRED SEVANJI,gp-ursvs.mz@gov.si,"Ajdovščina 4, 1000 Ljubljana",", MINISTRSTVO ZA ZDRAVJE UPRAVA REPUBLIKE SLOVENIJE ZA VARSTVO PRED SEVANJI"
MINISTRSTVO ZA FINANCE URAD REPUBLIKE SLOVENIJE ZA NADZOR PRORAČUNA,MINISTRSTVO ZA FINANCE URAD REPUBLIKE SLOVENIJE ZA NADZOR PRORAČUNA,mf.unp@mf-rs.si,"Fajfarjeva ulica 33, 1000 Ljubljana",", MINISTRSTVO ZA FINANCE URAD REPUBLIKE SLOVENIJE ZA NADZOR PRORAČUNA"
MINISTRSTVO ZA NOTRANJE ZADEVE INŠPEKTORAT REPUBLIKE SLOVENIJE ZA NOTRANJE ZADEVE,MINISTRSTVO ZA NOTRANJE ZADEVE INŠPEKTORAT REPUBLIKE SLOVENIJE ZA NOTRANJE ZADEVE,gp.mnz@gov.si,"Štefanova ulica 2, 1000 Ljubljana",", MINISTRSTVO ZA NOTRANJE ZADEVE INŠPEKTORAT REPUBLIKE SLOVENIJE ZA NOTRANJE ZADEVE"
"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA","REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA",aktrp@gov.si,"Dunajska cesta 160, 1000 Ljubljana",", REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA"
"MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA OBRAMBO","MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA OBRAMBO",irso@mors.si,"Vojkova cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, INŠPEKTORAT RS ZA OBRAMBO"
"MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE","MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE",glavna.pisarna.gssv@mors.si,"Vojkova cesta 55, 1000 Ljubljana",", MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE, GENERALŠTAB SLOVENSKE VOJSKE"
